"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","150.csv"
"startTime","2025-09-17T02:49:00.892Z"
"durationLabel","5.53s"
"samplesPerSecondLabel","150 Hz"
"totalSamples","829"
"dominantRegimen","indeterminado"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.72","1.64","-0.85","5.93"
"Sensor 4","2.68","1.56","-0.96","5.85"

"#RAW_HEADERS",time,sensor1,sensor4
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 4"
163,1.09,1.52,4.65
164,1.09,4.68,3.09
165,1.10,5.40,4.80
166,1.11,4.28,4.97
167,1.11,2.56,5.35
168,1.12,5.04,1.27
169,1.13,4.58,3.71
170,1.13,4.21,2.78
171,1.14,2.09,4.00
172,1.15,3.00,2.80
173,1.15,5.40,3.84
174,1.16,4.39,3.69
175,1.17,3.78,2.78
176,1.17,2.83,2.10
177,1.18,5.45,3.96
178,1.19,5.71,3.44
179,1.19,2.35,5.51
180,1.20,4.58,0.75
181,1.21,2.51,3.05
182,1.21,1.87,1.48
183,1.22,1.19,4.11
184,1.23,1.69,2.36
185,1.23,4.73,1.29
186,1.24,2.10,2.50
187,1.25,2.45,3.89
188,1.25,1.05,4.17
189,1.26,5.64,1.13
190,1.27,4.56,4.63
191,1.27,4.98,2.94
192,1.28,4.14,4.24
193,1.29,2.67,4.59
194,1.29,3.80,2.13
195,1.30,4.34,4.62
196,1.31,5.79,4.31
197,1.31,1.75,3.61
198,1.32,1.59,0.93
199,1.33,1.60,1.12
200,1.33,3.90,5.36
201,1.34,2.06,2.14
202,1.35,2.85,2.47
203,1.35,5.21,2.84
204,1.36,5.87,3.04
205,1.37,5.73,2.66
206,1.37,5.08,4.72
207,1.38,4.65,3.54
208,1.39,1.55,3.55
209,1.39,3.25,2.17
210,1.40,3.32,4.64
211,1.41,5.21,4.04
212,1.41,5.79,1.57
213,1.42,1.53,4.29
214,1.43,3.25,3.01
215,1.43,5.43,3.48
216,1.44,5.63,3.34
217,1.45,4.46,4.36
218,1.45,2.91,2.59
219,1.46,2.99,3.42
220,1.47,5.92,2.92
221,1.47,5.23,5.13
222,1.48,1.59,0.45
223,1.49,4.61,0.91
224,1.49,3.61,1.50
225,1.50,2.20,0.28
226,1.51,1.63,0.77
227,1.51,3.25,2.39
228,1.52,4.16,3.05
229,1.53,5.34,5.08
230,1.53,3.32,1.50
231,1.54,5.39,3.44
232,1.55,4.45,4.89
233,1.55,4.74,0.96
234,1.56,4.99,2.19
235,1.57,2.27,3.54
236,1.57,1.51,3.63
237,1.58,4.54,4.19
238,1.59,3.88,0.09
239,1.59,4.28,0.06
240,1.60,4.43,2.90
241,1.61,4.85,3.07
242,1.61,1.54,0.18
243,1.62,2.38,1.56
244,1.63,4.72,2.22
245,1.63,4.01,1.68
246,1.64,2.99,4.09
247,1.65,5.64,4.68
248,1.65,4.11,4.44
249,1.66,5.26,4.78
250,1.67,2.79,4.49
251,1.67,3.04,0.32
252,1.68,4.15,0.06
253,1.69,5.62,-0.20
254,1.69,1.29,2.91
255,1.70,1.59,1.25
256,1.71,5.78,0.33
257,1.71,1.94,0.42
258,1.72,1.64,0.04
259,1.73,1.61,3.88
260,1.73,1.67,3.90
261,1.74,3.59,1.95
262,1.75,2.75,2.13
263,1.75,2.52,4.29
264,1.76,1.90,2.99
265,1.77,3.95,0.11
266,1.77,5.31,1.41
267,1.78,3.82,0.72
268,1.79,3.33,3.74
269,1.79,4.37,3.44
270,1.80,3.48,-0.33
271,1.81,1.02,2.62
272,1.81,1.56,2.44
273,1.82,2.08,3.76
274,1.83,5.46,-0.26
275,1.83,4.25,3.37
276,1.84,5.00,0.84
277,1.85,5.43,0.28
278,1.85,5.84,1.95
279,1.86,4.86,-0.01
280,1.87,5.93,3.68
281,1.87,4.76,0.17
282,1.88,1.92,0.82
283,1.89,1.06,0.43
284,1.89,5.58,0.13
285,1.90,1.54,3.85
286,1.91,3.15,3.31
287,1.91,3.74,2.77
288,1.92,4.12,1.03
289,1.93,3.78,2.05
290,1.93,2.25,-0.37
291,1.94,4.54,3.24
292,1.95,4.11,-0.60
293,1.95,5.44,3.98
294,1.96,1.84,1.10
295,1.97,2.59,0.08
296,1.97,2.73,3.81
297,1.98,1.04,2.80
298,1.99,2.99,2.57
299,1.99,5.21,3.94
300,2.00,2.01,-0.35
301,2.01,5.17,1.81
302,2.01,4.30,3.23
303,2.02,3.05,3.28
304,2.03,2.04,0.98
305,2.03,3.37,1.68
306,2.04,1.35,2.88
307,2.05,5.80,0.02
308,2.05,5.10,2.58
309,2.06,5.36,3.63
310,2.07,2.99,3.13
311,2.07,5.58,2.61
312,2.08,4.66,0.26
313,2.09,3.95,3.37
314,2.09,2.95,-0.62
315,2.10,3.03,3.70
316,2.11,1.64,2.86
317,2.11,3.41,-0.33
318,2.12,4.50,2.43
319,2.13,5.23,2.48
320,2.13,5.04,2.96
321,2.14,2.60,1.84
322,2.15,2.48,0.96
323,2.15,4.37,2.48
324,2.16,4.42,2.49
325,2.17,4.63,3.67
326,2.17,1.86,3.14
327,2.18,1.70,-0.31
328,2.19,5.36,3.59
329,2.19,3.78,2.93
330,2.20,3.80,2.65
331,2.21,1.19,0.94
332,2.21,2.42,0.94
333,2.22,2.45,3.25
334,2.23,5.71,3.56
335,2.23,4.42,0.21
336,2.24,3.32,0.23
337,2.25,2.86,2.23
338,2.25,2.75,1.30
339,2.26,1.64,0.54
340,2.27,3.05,2.39
341,2.27,3.89,1.27
342,2.28,3.22,1.97
343,2.29,2.48,2.06
344,2.29,3.41,1.66
345,2.30,1.44,3.78
346,2.31,1.34,0.73
347,2.31,3.98,3.64
348,2.32,1.69,2.44
349,2.33,5.30,-0.87
350,2.33,1.49,0.09
351,2.34,2.78,0.90
352,2.35,3.64,3.53
353,2.35,4.94,-0.15
354,2.36,1.72,3.96
355,2.37,1.94,3.07
356,2.37,2.64,1.80
357,2.38,4.14,2.76
358,2.39,1.90,2.20
359,2.39,5.02,1.67
360,2.40,4.77,0.56
361,2.41,1.24,2.93
362,2.41,5.29,3.29
363,2.42,4.14,2.10
364,2.43,1.20,-0.14
365,2.43,2.85,-0.26
366,2.44,3.89,0.19
367,2.45,4.60,1.99
368,2.45,2.40,3.51
369,2.46,4.76,0.96
370,2.47,4.86,0.03
371,2.47,2.39,1.41
372,2.48,4.92,1.02
373,2.49,3.14,3.83
374,2.49,2.08,-0.33
375,2.50,4.25,2.19
376,2.51,3.29,2.11
377,2.51,4.75,0.89
378,2.52,4.61,0.66
379,2.53,3.01,-0.63
380,2.53,2.06,2.34
381,2.54,4.09,3.07
382,2.55,1.85,3.94
383,2.55,3.23,0.58
384,2.56,3.90,0.51
385,2.57,5.51,2.03
386,2.57,2.40,2.34
387,2.58,4.73,3.42
388,2.59,3.74,1.91
389,2.59,5.18,-0.59
390,2.60,0.96,-0.19
391,2.61,2.03,3.75
392,2.61,4.09,0.08
393,2.62,5.25,3.36
394,2.63,5.01,0.24
395,2.63,5.03,1.91
396,2.64,2.84,1.94
397,2.65,3.92,1.96
398,2.65,2.11,2.39
399,2.66,4.48,0.48
400,2.67,1.44,2.93
401,2.67,1.79,0.82
402,2.68,1.59,1.69
403,2.69,2.74,3.37
404,2.69,3.65,1.41
405,2.70,3.15,3.22
406,2.71,4.51,0.85
407,2.71,2.86,2.28
408,2.72,3.98,1.97
409,2.73,4.30,-0.33
410,2.73,1.10,1.25
411,2.74,5.36,3.82
412,2.75,0.87,0.71
413,2.75,2.38,2.51
414,2.76,1.43,1.07
415,2.77,3.94,3.79
416,2.77,3.52,2.25
417,2.78,4.42,0.95
418,2.79,3.73,0.87
419,2.79,1.22,-0.27
420,2.80,4.29,2.19
421,2.81,5.02,-0.11
422,2.81,3.82,2.29
423,2.82,4.21,3.33
424,2.83,2.77,3.18
425,2.83,5.14,4.19
426,2.84,4.74,-0.19
427,2.85,3.89,2.71
428,2.85,0.87,3.39
429,2.86,2.02,2.61
430,2.87,1.75,4.33
431,2.87,5.05,1.05
432,2.88,2.23,3.91
433,2.89,2.97,4.14
434,2.89,2.70,3.78
435,2.90,3.88,1.77
436,2.91,1.69,1.67
437,2.91,2.34,3.00
438,2.92,3.87,2.57
439,2.93,3.04,-0.33
440,2.93,1.64,3.84
441,2.94,4.52,2.63
442,2.95,2.72,2.90
443,2.95,4.84,3.25
444,2.96,4.44,3.75
445,2.97,1.63,1.02
446,2.97,4.95,3.94
447,2.98,4.77,1.05
448,2.99,0.89,4.03
449,2.99,5.11,3.60
450,3.00,4.47,-0.18
451,3.01,0.33,1.80
452,3.01,2.64,3.65
453,3.02,0.13,0.40
454,3.03,0.19,2.39
455,3.03,0.83,1.63
456,3.04,4.93,0.36
457,3.05,2.05,2.79
458,3.05,0.41,3.82
459,3.06,1.82,1.51
460,3.07,4.36,3.34
461,3.07,0.92,0.16
462,3.08,4.38,0.28
463,3.09,4.87,3.28
464,3.09,2.16,4.02
465,3.10,4.96,1.20
466,3.11,1.77,2.64
467,3.11,0.50,1.35
468,3.12,0.94,1.30
469,3.13,3.59,2.94
470,3.13,4.75,3.41
471,3.14,3.79,4.17
472,3.15,4.25,4.74
473,3.15,0.30,2.00
474,3.16,2.39,2.49
475,3.17,3.49,3.68
476,3.17,2.42,3.74
477,3.18,1.31,1.58
478,3.19,0.24,0.60
479,3.19,3.73,1.87
480,3.20,0.99,2.87
481,3.21,0.11,3.24
482,3.21,0.27,0.19
483,3.22,4.56,1.44
484,3.23,0.80,4.82
485,3.23,2.54,1.43
486,3.24,2.53,1.94
487,3.25,4.00,1.88
488,3.25,3.61,5.06
489,3.26,2.62,4.74
490,3.27,3.54,3.34
491,3.27,0.17,3.68
492,3.28,3.11,3.69
493,3.29,3.38,3.62
494,3.29,1.14,2.13
495,3.30,3.37,4.49
496,3.31,1.00,3.81
497,3.31,3.05,5.05
498,3.32,3.22,3.94
499,3.33,3.25,1.07
500,3.33,2.51,4.48
501,3.34,2.65,4.51
502,3.35,1.59,4.42
503,3.35,1.37,4.46
504,3.36,0.81,1.34
505,3.37,1.15,4.01
506,3.37,2.17,4.60
507,3.38,2.21,2.74
508,3.39,0.44,2.63
509,3.39,2.23,4.40
510,3.40,0.79,4.07
511,3.41,1.40,1.19
512,3.41,1.94,0.84
513,3.42,-0.14,0.67
514,3.43,1.26,5.14
515,3.43,2.79,5.15
516,3.44,0.73,4.23
517,3.45,-0.15,2.25
518,3.45,4.67,3.20
519,3.46,2.81,2.64
520,3.47,3.05,5.25
521,3.47,1.37,0.65
522,3.48,3.70,4.14
523,3.49,3.16,4.59
524,3.49,3.79,1.72
525,3.50,3.97,1.83
526,3.51,-0.09,1.36
527,3.51,2.05,1.21
528,3.52,0.89,5.42
529,3.53,1.58,5.16
530,3.53,1.65,2.79
531,3.54,2.33,2.96
532,3.55,3.04,4.70
533,3.55,1.24,2.67
534,3.56,3.07,1.54
535,3.57,2.51,4.03
536,3.57,4.17,5.43
537,3.58,3.63,5.44
538,3.59,4.01,0.94
539,3.59,2.65,2.10
540,3.60,0.93,0.85
541,3.61,3.51,4.14
542,3.61,3.61,1.76
543,3.62,0.66,2.19
544,3.63,0.75,4.19
545,3.63,3.55,4.27
546,3.64,-0.45,3.21
547,3.65,-0.40,2.55
548,3.65,3.09,5.68
549,3.66,2.03,5.67
550,3.67,3.07,3.87
551,3.67,3.71,4.45
552,3.68,1.49,3.52
553,3.69,3.10,1.38
554,3.69,1.36,2.63
555,3.70,4.16,1.79
556,3.71,1.10,4.22
557,3.71,2.23,5.18
558,3.72,0.89,2.29
559,3.73,0.77,1.71
560,3.73,1.52,2.66
561,3.74,1.89,1.49
562,3.75,1.38,5.71
563,3.75,-0.57,3.79
564,3.76,3.67,3.55
565,3.77,4.41,3.90
566,3.77,2.16,1.17
567,3.78,3.23,3.56
568,3.79,3.78,4.71
569,3.79,0.90,2.93
570,3.80,-0.22,2.24
571,3.81,3.68,3.65
572,3.81,1.87,2.50
573,3.82,4.20,2.44
574,3.83,4.07,4.40
575,3.83,3.62,5.01
576,3.84,3.92,5.83
577,3.85,3.85,3.85
578,3.85,1.83,1.59
579,3.86,1.78,1.62
580,3.87,0.14,2.69
581,3.87,0.90,3.85
582,3.88,-0.55,1.67
583,3.89,-0.04,3.99
584,3.89,0.02,1.76
585,3.90,2.55,1.58
586,3.91,3.31,2.55
587,3.91,-0.55,5.50
588,3.92,0.13,3.07
589,3.93,2.05,5.38
590,3.93,2.68,2.48
591,3.94,-0.53,1.19
592,3.95,3.28,1.17
593,3.95,3.49,3.30
594,3.96,2.50,4.84
595,3.97,0.76,4.34
596,3.97,3.33,2.03
597,3.98,1.06,3.89
598,3.99,1.84,1.68
599,3.99,2.50,1.29
600,4.00,3.61,3.58
601,4.01,3.06,1.17
602,4.01,1.65,4.01
603,4.02,0.45,3.55
604,4.03,0.76,4.74
605,4.03,1.35,1.98
606,4.04,2.57,5.26
607,4.05,3.84,4.30
608,4.05,1.94,1.23
609,4.06,2.11,3.37
610,4.07,4.13,2.43
611,4.07,4.12,5.54
612,4.08,2.15,3.73
613,4.09,1.85,1.08
614,4.09,0.15,3.33
615,4.10,2.30,4.82
616,4.11,-0.32,5.35
617,4.11,-0.80,1.23
618,4.12,4.04,5.66
619,4.13,1.17,2.02
620,4.13,2.39,1.43
621,4.14,3.42,4.34
622,4.15,3.43,2.57
623,4.15,-0.40,5.74
624,4.16,3.58,3.73
625,4.17,1.33,1.60
626,4.17,0.01,1.59
627,4.18,2.13,1.70
628,4.19,-0.45,1.86
629,4.19,3.97,4.70
630,4.20,-0.65,2.42
631,4.21,0.28,4.03
632,4.21,0.49,5.42
633,4.22,-0.63,3.02
634,4.23,-0.04,0.93
635,4.23,-0.34,4.32
636,4.24,3.92,2.88
637,4.25,-0.26,5.68
638,4.25,1.31,3.70
639,4.26,1.00,2.21
640,4.27,0.23,4.32
641,4.27,-0.66,2.94
642,4.28,3.95,1.13
643,4.29,3.64,4.00
644,4.29,-0.32,5.68
645,4.30,2.10,4.14
646,4.31,1.15,1.65
647,4.31,-0.04,5.29
648,4.32,3.62,5.01
649,4.33,1.21,3.13
650,4.33,-0.28,0.97
651,4.34,2.47,2.16
652,4.35,4.05,2.82
653,4.35,3.89,3.79
654,4.36,1.18,3.48
655,4.37,1.58,0.97
656,4.37,2.29,3.10
657,4.38,3.50,2.07
658,4.39,0.39,4.20
659,4.39,1.61,2.34
660,4.40,-0.27,5.05
661,4.41,1.10,1.00
662,4.41,0.95,5.06
663,4.42,-0.14,5.16
664,4.43,-0.12,3.46
665,4.43,0.11,1.14
666,4.44,1.44,3.66
667,4.45,3.83,4.14
668,4.45,1.60,0.81
669,4.46,-0.81,1.46
670,4.47,2.83,4.65
671,4.47,3.75,3.43
672,4.48,0.68,4.74
673,4.49,-0.13,2.37
674,4.49,1.53,3.88
675,4.50,2.75,2.52
676,4.51,0.93,4.47
677,4.51,0.41,3.29
678,4.52,1.05,1.54
679,4.53,0.96,2.88
680,4.53,-0.74,3.36
681,4.54,-0.16,4.90
682,4.55,-0.35,4.76
683,4.55,1.64,1.95
684,4.56,2.43,1.46
685,4.57,-0.27,2.44
686,4.57,2.87,0.60
687,4.58,1.28,0.55
688,4.59,0.73,4.72
689,4.59,3.72,4.74
690,4.60,1.84,3.92
691,4.61,2.53,2.55
692,4.61,0.66,2.09
693,4.62,3.99,2.50
694,4.63,2.33,4.65
695,4.63,-0.65,0.94
696,4.64,3.99,0.33
697,4.65,3.53,3.58
698,4.65,1.22,0.86
699,4.66,2.61,1.80
700,4.67,1.15,1.30
701,4.67,1.93,4.28
702,4.68,2.00,1.88
703,4.69,1.11,3.63
704,4.69,1.73,1.62
705,4.70,1.97,2.04
706,4.71,3.07,2.75
707,4.71,3.90,4.22
708,4.72,2.36,2.17
709,4.73,2.91,4.49
710,4.73,0.19,2.28
711,4.74,0.79,3.96
712,4.75,-0.43,3.92
713,4.75,-0.76,2.29
714,4.76,0.21,1.47
715,4.77,0.00,2.83
716,4.77,3.27,4.73
717,4.78,2.53,4.20
718,4.79,1.40,3.56
719,4.79,3.72,1.06
720,4.80,3.57,1.35
721,4.81,1.62,3.56
722,4.81,2.83,1.19
723,4.82,0.50,1.87
724,4.83,0.07,4.04
725,4.83,1.36,3.55
726,4.84,1.55,1.89
727,4.85,1.84,1.26
728,4.85,1.84,0.70
729,4.86,-0.73,4.70
730,4.87,3.70,2.11
731,4.87,3.65,0.62
732,4.88,-0.66,3.74
733,4.89,3.65,0.47
734,4.89,-0.40,3.47
735,4.90,2.91,1.87
736,4.91,3.62,3.13
737,4.91,2.08,3.94
738,4.92,2.48,3.66
739,4.93,2.66,0.61
740,4.93,1.02,3.67
741,4.94,2.48,4.01
742,4.95,3.90,2.26
743,4.95,3.69,4.32
744,4.96,0.55,3.90
745,4.97,2.02,4.12
746,4.97,3.49,3.30
747,4.98,1.81,3.91
748,4.99,-0.43,1.56
749,4.99,3.24,0.70
750,5.00,-0.52,4.05
751,5.01,3.40,0.27
752,5.01,1.61,1.70
753,5.02,2.67,3.85
754,5.03,3.43,3.18
755,5.03,0.81,3.53
756,5.04,3.45,3.36
757,5.05,-0.85,1.59
758,5.05,0.03,2.57
759,5.06,1.48,0.38
760,5.07,3.00,3.66
761,5.07,2.05,-0.58
762,5.08,-0.09,2.58
763,5.09,2.63,3.22
764,5.09,-0.30,2.89
765,5.10,3.57,1.19
766,5.11,1.72,4.08
767,5.11,1.70,0.57
768,5.12,2.20,2.59
769,5.13,1.89,2.05
770,5.13,1.10,-0.73
771,5.14,0.94,2.87
772,5.15,3.84,1.49
773,5.15,1.52,-0.60
774,5.16,1.53,2.73
775,5.17,4.06,0.29
776,5.17,1.71,-0.71
777,5.18,2.88,4.12
778,5.19,-0.44,-0.52
779,5.19,1.43,1.01
780,5.20,0.64,4.07
781,5.21,1.49,0.13
782,5.21,0.36,1.96
783,5.22,3.08,0.78
784,5.23,3.11,-0.51
785,5.23,-0.54,0.20
786,5.24,4.12,3.48
787,5.25,3.31,3.95
788,5.25,0.22,2.87
789,5.26,3.51,0.34
790,5.27,3.92,0.32
791,5.27,0.36,2.66
792,5.28,-0.63,3.92
793,5.29,-0.07,3.16
794,5.29,3.94,2.14
795,5.30,-0.59,3.09
796,5.31,3.25,1.49
797,5.31,1.67,1.87
798,5.32,-0.59,0.49
799,5.33,0.37,2.86
800,5.33,1.96,1.16
801,5.34,3.82,0.89
802,5.35,3.92,-0.07
803,5.35,0.21,2.20
804,5.36,-0.55,3.69
805,5.37,1.92,2.68
806,5.37,0.33,3.57
807,5.38,4.06,0.73
808,5.39,1.53,2.18
809,5.39,4.15,1.30
810,5.40,4.20,-0.96
811,5.41,-0.27,2.47
812,5.41,3.86,1.74
813,5.42,1.48,1.30
814,5.43,3.72,1.51
815,5.43,2.14,-0.88
816,5.44,-0.13,0.25
817,5.45,-0.49,3.38
818,5.45,0.81,0.67
819,5.46,2.01,0.26
820,5.47,3.01,2.16
821,5.47,2.55,-0.34
822,5.48,3.40,1.22
823,5.49,3.71,0.55
824,5.49,4.26,0.59
825,5.50,3.54,2.01
826,5.51,-0.58,1.06
827,5.51,2.65,2.18
828,5.52,3.71,2.18
829,5.53,3.08,0.14
