"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","prueba_1.csv"
"startTime","2025-07-05T01:57:22.107Z"
"durationLabel","5.00s"
"samplesPerSecondLabel","130 Hz"
"totalSamples","1956"
"dominantRegimen","turbulento"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.68","1.63","-0.90","5.98"
"Sensor 2","2.73","1.59","-0.93","5.94"
"Sensor 5","2.67","1.62","-0.93","5.89"

"#RAW_HEADERS",time,sensor1,sensor2,sensor5,regimen
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 2","Sensor 5","Régimen de Flujo"
74,0.56,2.08,3.31,3.05,"turbulento"
75,0.57,3.56,1.14,4.07,"turbulento"
76,0.58,3.50,3.75,2.49,"turbulento"
77,0.58,5.42,5.71,3.57,"flujo laminar"
78,0.59,4.23,3.32,2.39,"turbulento"
79,0.60,5.16,3.48,3.76,"turbulento"
80,0.61,5.37,5.20,2.72,"flujo laminar"
81,0.62,3.93,5.78,1.60,"flujo laminar"
82,0.62,2.12,4.24,4.01,"turbulento"
83,0.63,2.94,5.28,1.88,"turbulento"
84,0.64,4.13,2.39,4.39,"turbulento"
85,0.65,1.44,5.47,3.57,"turbulento"
86,0.65,5.56,4.28,5.89,"flujo laminar"
87,0.66,3.05,3.79,2.61,"flujo laminar"
88,0.67,3.04,5.45,5.31,"turbulento"
89,0.68,3.76,1.13,3.05,"turbulento"
90,0.68,3.96,3.27,5.20,"flujo laminar"
91,0.69,2.06,5.60,5.16,"turbulento"
92,0.70,1.83,4.62,3.46,"flujo laminar"
93,0.71,1.57,2.87,5.02,"flujo laminar"
94,0.72,2.73,5.87,2.66,"flujo laminar"
95,0.72,1.25,2.07,3.95,"flujo laminar"
96,0.73,5.29,3.37,5.70,"turbulento"
97,0.74,2.97,1.87,0.86,"flujo laminar"
98,0.75,5.00,2.06,4.34,"turbulento"
99,0.75,1.67,1.34,1.84,"flujo laminar"
100,0.76,5.66,3.00,4.29,"flujo laminar"
101,0.77,5.61,5.81,3.10,"flujo laminar"
102,0.78,3.40,3.05,3.78,"flujo laminar"
103,0.78,4.69,5.36,3.86,"flujo laminar"
104,0.79,3.81,5.13,4.03,"flujo laminar"
105,0.80,4.10,3.15,0.74,"flujo laminar"
106,0.81,1.04,4.56,4.34,"turbulento"
107,0.82,4.87,5.00,2.03,"turbulento"
108,0.82,3.21,2.30,3.75,"turbulento"
109,0.83,2.14,1.63,1.66,"turbulento"
110,0.84,4.00,3.65,3.31,"turbulento"
111,0.85,5.38,5.49,1.99,"turbulento"
112,0.85,0.88,3.71,1.42,"turbulento"
113,0.86,5.69,5.87,4.30,"flujo laminar"
114,0.87,2.80,4.03,0.76,"turbulento"
115,0.88,4.25,2.11,2.24,"turbulento"
116,0.88,3.93,4.03,1.52,"flujo laminar"
117,0.89,1.27,5.78,3.06,"turbulento"
118,0.90,1.52,3.41,0.91,"turbulento"
119,0.91,2.59,5.36,5.12,"turbulento"
120,0.92,3.54,2.89,1.69,"turbulento"
121,0.92,4.00,5.74,2.41,"flujo laminar"
122,0.93,0.93,3.78,3.76,"turbulento"
123,0.94,5.62,2.53,5.15,"turbulento"
124,0.95,4.40,5.94,2.99,"flujo laminar"
125,0.95,3.76,5.14,1.60,"flujo laminar"
126,0.96,2.52,3.50,0.90,"turbulento"
127,0.97,5.34,4.77,4.64,"flujo laminar"
128,0.98,3.21,2.55,2.73,"flujo laminar"
129,0.98,4.12,1.03,2.49,"flujo laminar"
130,0.99,4.77,4.10,2.12,"turbulento"
131,1.00,2.84,1.83,3.46,"flujo laminar"
132,1.01,2.05,2.02,2.74,"turbulento"
133,1.02,1.08,4.37,4.51,"turbulento"
134,1.02,3.98,2.47,0.51,"turbulento"
135,1.03,1.38,4.33,1.01,"turbulento"
136,1.04,5.36,1.39,2.37,"flujo laminar"
137,1.05,4.81,1.46,0.85,"turbulento"
138,1.05,2.44,2.73,2.33,"flujo laminar"
139,1.06,1.80,1.33,4.09,"flujo laminar"
140,1.07,3.70,3.00,0.75,"turbulento"
141,1.08,5.67,5.03,3.91,"turbulento"
142,1.08,4.54,3.68,1.17,"turbulento"
143,1.09,5.36,2.83,1.36,"turbulento"
144,1.10,4.56,3.59,2.29,"turbulento"
145,1.11,1.89,2.85,-0.14,"turbulento"
146,1.12,2.24,2.66,2.39,"turbulento"
147,1.12,5.86,5.31,2.10,"flujo laminar"
148,1.13,1.88,1.32,4.23,"flujo laminar"
149,1.14,3.98,3.43,1.07,"turbulento"
150,1.15,2.89,4.28,1.08,"flujo laminar"
151,1.15,3.13,2.46,3.78,"turbulento"
152,1.16,2.50,0.73,-0.15,"flujo laminar"
153,1.17,1.79,4.15,-0.31,"flujo laminar"
154,1.18,5.05,4.05,2.69,"turbulento"
155,1.18,5.04,0.82,0.35,"turbulento"
156,1.19,3.35,3.86,3.88,"turbulento"
157,1.20,5.11,0.92,4.17,"turbulento"
158,1.21,4.67,2.71,0.13,"flujo laminar"
159,1.22,3.90,1.86,4.07,"turbulento"
160,1.22,2.61,2.25,3.90,"turbulento"
161,1.23,2.18,4.75,2.02,"flujo laminar"
162,1.24,3.53,2.92,2.09,"turbulento"
163,1.25,1.68,2.15,2.45,"flujo laminar"
164,1.25,3.71,1.73,0.80,"turbulento"
165,1.26,2.04,5.44,0.60,"turbulento"
166,1.27,2.05,5.29,4.25,"flujo laminar"
167,1.28,1.03,4.89,-0.31,"turbulento"
168,1.28,4.02,3.52,1.24,"flujo laminar"
169,1.29,3.79,3.86,2.04,"turbulento"
170,1.30,2.43,1.32,1.63,"flujo laminar"
171,1.31,3.25,2.30,1.22,"flujo laminar"
172,1.32,5.88,2.17,2.07,"flujo laminar"
173,1.32,5.17,2.86,3.26,"turbulento"
174,1.33,1.83,0.52,1.06,"flujo laminar"
175,1.34,2.37,3.99,3.90,"turbulento"
176,1.35,4.76,5.31,3.40,"turbulento"
177,1.35,4.99,4.16,1.72,"turbulento"
178,1.36,1.43,3.58,-0.14,"flujo laminar"
179,1.37,4.41,5.06,1.40,"turbulento"
180,1.38,4.48,0.74,-0.54,"turbulento"
181,1.38,1.92,0.59,3.58,"flujo laminar"
182,1.39,1.19,4.75,3.89,"flujo laminar"
183,1.40,2.69,2.86,-0.10,"turbulento"
184,1.41,5.15,4.39,-0.20,"flujo laminar"
185,1.42,3.29,0.75,-0.69,"turbulento"
186,1.42,4.68,3.24,0.60,"turbulento"
187,1.43,5.45,3.90,2.90,"turbulento"
188,1.44,1.89,0.92,0.26,"turbulento"
189,1.45,2.54,5.06,1.48,"turbulento"
190,1.45,4.17,4.32,3.40,"turbulento"
191,1.46,4.04,3.71,1.52,"flujo laminar"
192,1.47,5.71,4.52,0.89,"turbulento"
193,1.48,4.63,0.39,2.31,"turbulento"
194,1.48,2.34,0.29,2.75,"turbulento"
195,1.49,4.27,2.05,1.47,"turbulento"
196,1.50,4.26,4.97,0.44,"turbulento"
197,1.51,3.27,0.22,0.68,"turbulento"
198,1.52,5.98,1.46,3.21,"turbulento"
199,1.52,5.25,3.94,2.66,"turbulento"
200,1.53,5.34,3.27,-0.35,"flujo laminar"
201,1.54,5.53,4.02,1.39,"turbulento"
202,1.55,5.39,1.52,0.71,"turbulento"
203,1.55,4.91,3.15,-0.93,"flujo laminar"
204,1.56,2.89,3.79,2.76,"flujo laminar"
205,1.57,1.89,2.29,2.25,"flujo laminar"
206,1.58,5.71,0.35,1.09,"flujo laminar"
207,1.58,2.52,0.98,1.42,"flujo laminar"
208,1.59,2.63,3.92,1.83,"flujo laminar"
209,1.60,2.11,4.23,1.89,"flujo laminar"
210,1.61,2.07,4.73,2.57,"flujo laminar"
211,1.62,2.81,2.50,-0.66,"flujo laminar"
212,1.62,4.16,3.50,1.33,"flujo laminar"
213,1.63,5.05,3.98,-0.25,"turbulento"
214,1.64,2.05,3.75,-0.11,"turbulento"
215,1.65,2.80,1.67,3.49,"flujo laminar"
216,1.65,2.81,1.27,1.44,"flujo laminar"
217,1.66,4.33,0.44,0.16,"flujo laminar"
218,1.67,3.13,3.94,2.01,"turbulento"
219,1.68,4.45,3.35,2.91,"flujo laminar"
220,1.68,5.44,4.54,1.52,"flujo laminar"
221,1.69,2.81,3.36,0.71,"turbulento"
222,1.70,2.69,4.47,1.37,"turbulento"
223,1.71,2.66,1.40,-0.61,"turbulento"
224,1.72,4.95,0.79,1.92,"turbulento"
225,1.72,1.69,3.75,-0.51,"flujo laminar"
226,1.73,3.47,4.22,3.45,"turbulento"
227,1.74,1.31,0.62,-0.05,"flujo laminar"
228,1.75,4.78,-0.20,-0.32,"turbulento"
229,1.75,0.99,3.87,1.03,"turbulento"
230,1.76,4.98,2.49,0.46,"turbulento"
231,1.77,4.74,0.45,3.27,"turbulento"
232,1.78,4.18,4.07,0.39,"turbulento"
233,1.78,5.08,2.66,3.87,"flujo laminar"
234,1.79,2.54,1.86,-0.29,"turbulento"
235,1.80,1.78,2.27,2.81,"flujo laminar"
236,1.81,4.91,-0.29,1.56,"flujo laminar"
237,1.82,1.28,2.34,2.66,"flujo laminar"
238,1.82,2.13,0.56,2.59,"flujo laminar"
239,1.83,2.15,1.95,3.09,"turbulento"
240,1.84,5.30,-0.02,3.54,"flujo laminar"
241,1.85,3.82,4.18,1.65,"flujo laminar"
242,1.85,5.12,0.61,1.33,"flujo laminar"
243,1.86,4.27,0.00,-0.58,"turbulento"
244,1.87,4.09,1.54,3.79,"turbulento"
245,1.88,2.22,1.20,-0.06,"turbulento"
246,1.88,2.61,2.87,3.22,"flujo laminar"
247,1.89,1.32,0.49,2.49,"flujo laminar"
248,1.90,5.79,2.34,2.11,"turbulento"
249,1.91,3.00,2.28,2.14,"flujo laminar"
250,1.92,4.36,2.99,1.03,"flujo laminar"
251,1.92,3.06,0.83,2.85,"turbulento"
252,1.93,3.63,3.14,0.14,"turbulento"
253,1.94,1.00,0.53,1.21,"turbulento"
254,1.95,3.22,2.57,2.74,"flujo laminar"
255,1.95,3.38,2.54,4.18,"flujo laminar"
256,1.96,1.60,0.08,4.09,"turbulento"
257,1.97,4.59,4.17,1.26,"flujo laminar"
258,1.98,1.54,2.78,1.01,"turbulento"
259,1.98,1.58,2.14,2.63,"turbulento"
260,1.99,5.72,-0.33,0.23,"flujo laminar"
261,2.00,4.76,3.88,4.01,"turbulento"
262,2.01,3.76,3.08,4.59,"turbulento"
263,2.02,1.78,-0.74,-0.21,"flujo laminar"
264,2.02,4.99,1.59,0.03,"turbulento"
265,2.03,2.89,-0.72,2.74,"flujo laminar"
266,2.04,2.61,4.00,3.66,"turbulento"
267,2.05,3.52,-0.47,1.43,"turbulento"
268,2.05,5.37,0.21,4.16,"turbulento"
269,2.06,4.71,2.90,3.21,"turbulento"
270,2.07,1.37,1.29,2.60,"flujo laminar"
271,2.08,2.91,1.06,4.19,"flujo laminar"
272,2.08,1.00,3.46,1.06,"turbulento"
273,2.09,3.40,1.16,4.83,"flujo laminar"
274,2.10,3.85,4.09,0.32,"flujo laminar"
275,2.11,3.79,1.10,3.31,"flujo laminar"
276,2.12,3.14,-0.88,2.28,"flujo laminar"
277,2.12,3.20,-0.35,4.98,"turbulento"
278,2.13,5.71,0.66,1.46,"flujo laminar"
279,2.14,3.68,1.51,2.98,"turbulento"
280,2.15,4.18,2.87,2.06,"turbulento"
281,2.15,1.16,0.31,2.04,"flujo laminar"
282,2.16,4.38,3.24,1.40,"turbulento"
283,2.17,5.71,-0.86,0.92,"turbulento"
284,2.18,4.43,1.20,4.14,"turbulento"
285,2.18,1.67,3.65,2.66,"flujo laminar"
286,2.19,3.52,3.50,3.07,"flujo laminar"
287,2.20,5.44,1.15,4.39,"turbulento"
288,2.21,4.52,3.34,3.67,"flujo laminar"
289,2.22,1.29,2.48,2.30,"turbulento"
290,2.22,4.04,4.01,1.65,"flujo laminar"
291,2.23,5.10,3.56,0.68,"turbulento"
292,2.24,3.83,3.88,5.10,"flujo laminar"
293,2.25,1.06,1.16,5.16,"flujo laminar"
294,2.25,0.96,0.04,3.98,"flujo laminar"
295,2.26,3.68,0.51,0.81,"turbulento"
296,2.27,3.43,2.11,3.55,"turbulento"
297,2.28,0.85,0.06,5.26,"flujo laminar"
298,2.28,1.72,0.29,3.29,"turbulento"
299,2.29,5.34,1.71,3.84,"turbulento"
300,2.30,2.57,2.23,2.24,"turbulento"
301,2.31,1.06,2.35,3.43,"flujo laminar"
302,2.32,1.91,1.07,4.10,"turbulento"
303,2.32,0.80,-0.51,1.45,"turbulento"
304,2.33,2.78,1.09,2.65,"turbulento"
305,2.34,0.90,2.61,3.51,"turbulento"
306,2.35,4.58,-0.93,1.37,"turbulento"
307,2.35,4.39,2.41,5.07,"turbulento"
308,2.36,2.49,1.74,2.59,"flujo laminar"
309,2.37,2.46,3.40,0.82,"flujo laminar"
310,2.38,3.66,-0.57,4.29,"turbulento"
311,2.38,4.63,3.84,1.83,"flujo laminar"
312,2.39,1.64,2.25,3.68,"flujo laminar"
313,2.40,1.89,3.01,4.91,"flujo laminar"
314,2.41,5.51,1.04,1.22,"turbulento"
315,2.42,2.36,0.43,2.17,"turbulento"
316,2.42,1.34,0.36,2.15,"turbulento"
317,2.43,1.57,0.36,1.38,"flujo laminar"
318,2.44,1.28,3.24,3.54,"turbulento"
319,2.45,3.22,1.69,3.18,"flujo laminar"
320,2.45,4.92,-0.23,3.12,"flujo laminar"
321,2.46,4.04,-0.57,5.03,"turbulento"
322,2.47,4.09,1.77,5.66,"turbulento"
323,2.48,2.38,-0.89,1.17,"turbulento"
324,2.48,2.18,2.17,5.47,"turbulento"
325,2.49,3.67,2.09,4.38,"flujo laminar"
326,2.50,1.61,-0.86,5.81,"turbulento"
327,2.51,5.16,1.10,2.53,"flujo laminar"
328,2.52,5.05,0.36,4.27,"flujo laminar"
329,2.52,2.49,0.57,4.65,"turbulento"
330,2.53,5.00,1.49,2.81,"flujo laminar"
331,2.54,3.70,1.82,4.96,"turbulento"
332,2.55,4.36,2.52,3.14,"flujo laminar"
333,2.55,5.19,0.90,3.92,"flujo laminar"
334,2.56,1.39,0.68,2.84,"turbulento"
335,2.57,1.62,3.00,5.37,"flujo laminar"
336,2.58,2.55,0.82,4.75,"turbulento"
337,2.58,1.47,-0.21,2.18,"flujo laminar"
338,2.59,4.96,1.59,4.93,"flujo laminar"
339,2.60,1.55,3.02,4.37,"turbulento"
340,2.61,3.94,2.62,4.45,"flujo laminar"
341,2.62,4.38,4.02,1.49,"flujo laminar"
342,2.62,1.05,1.08,4.93,"flujo laminar"
343,2.63,0.73,0.99,2.64,"flujo laminar"
344,2.64,3.22,0.78,4.31,"flujo laminar"
345,2.65,4.39,3.43,3.89,"flujo laminar"
346,2.65,2.38,2.96,2.67,"turbulento"
347,2.66,3.54,0.34,4.47,"flujo laminar"
348,2.67,1.51,0.58,3.54,"flujo laminar"
349,2.68,0.79,1.71,4.53,"flujo laminar"
350,2.68,2.29,1.35,3.03,"flujo laminar"
351,2.69,4.23,3.34,3.24,"turbulento"
352,2.70,1.59,3.35,2.21,"turbulento"
353,2.71,4.17,2.94,3.50,"flujo laminar"
354,2.72,2.77,4.18,2.21,"flujo laminar"
355,2.72,1.48,2.96,2.19,"turbulento"
356,2.73,3.07,-0.31,4.12,"turbulento"
357,2.74,4.33,2.81,2.38,"turbulento"
358,2.75,4.71,4.07,2.46,"turbulento"
359,2.75,2.68,1.84,2.19,"turbulento"
360,2.76,3.48,3.96,4.10,"flujo laminar"
361,2.77,5.00,1.70,2.93,"flujo laminar"
362,2.78,1.54,3.13,1.63,"flujo laminar"
363,2.78,3.88,0.65,2.91,"turbulento"
364,2.79,1.27,4.16,5.28,"turbulento"
365,2.80,4.33,3.54,1.94,"turbulento"
366,2.81,2.83,0.62,1.40,"turbulento"
367,2.82,2.00,3.06,1.00,"turbulento"
368,2.82,0.36,-0.59,5.74,"turbulento"
369,2.83,1.63,4.30,4.01,"flujo laminar"
370,2.84,0.54,-0.10,5.72,"flujo laminar"
371,2.85,0.35,3.37,4.08,"flujo laminar"
372,2.85,4.18,2.30,1.45,"flujo laminar"
373,2.86,3.56,3.92,4.30,"flujo laminar"
374,2.87,3.31,0.70,3.83,"turbulento"
375,2.88,3.67,1.52,4.19,"turbulento"
376,2.88,5.24,2.24,3.63,"flujo laminar"
377,2.89,4.22,0.48,3.66,"flujo laminar"
378,2.90,4.47,1.60,1.01,"turbulento"
379,2.91,0.24,0.66,5.18,"flujo laminar"
380,2.92,3.97,2.99,4.39,"turbulento"
381,2.92,3.67,0.53,4.67,"flujo laminar"
382,2.93,1.65,1.89,1.03,"flujo laminar"
383,2.94,2.87,1.16,5.17,"flujo laminar"
384,2.95,2.34,1.09,5.55,"flujo laminar"
385,2.95,2.05,1.25,4.60,"flujo laminar"
386,2.96,4.58,4.63,5.23,"flujo laminar"
387,2.97,4.50,3.00,4.93,"flujo laminar"
388,2.98,2.77,0.66,4.16,"turbulento"
389,2.98,4.06,4.61,3.71,"turbulento"
390,2.99,1.95,1.46,4.43,"turbulento"
391,3.00,0.18,0.69,2.71,"turbulento"
392,3.01,3.45,2.43,5.02,"flujo laminar"
393,3.02,1.52,3.64,0.94,"flujo laminar"
394,3.02,1.15,0.71,1.68,"flujo laminar"
395,3.03,3.05,4.36,4.55,"flujo laminar"
396,3.04,4.20,2.53,5.07,"flujo laminar"
397,3.05,5.06,2.38,3.87,"turbulento"
398,3.05,4.13,3.00,1.05,"flujo laminar"
399,3.06,3.37,1.30,1.30,"flujo laminar"
400,3.07,3.65,4.23,1.75,"turbulento"
401,3.08,1.95,0.98,3.84,"turbulento"
402,3.08,0.21,2.64,1.67,"turbulento"
403,3.09,0.06,0.40,2.30,"flujo laminar"
404,3.10,2.33,2.92,1.20,"turbulento"
405,3.11,3.38,1.35,4.28,"flujo laminar"
406,3.12,3.34,0.49,3.02,"flujo laminar"
407,3.12,2.62,4.38,1.73,"flujo laminar"
408,3.13,2.88,1.55,2.09,"flujo laminar"
409,3.14,1.51,3.63,4.40,"flujo laminar"
410,3.15,4.31,4.69,3.61,"turbulento"
411,3.15,2.62,2.42,4.92,"flujo laminar"
412,3.16,2.26,4.52,2.26,"flujo laminar"
413,3.17,0.86,1.50,4.36,"turbulento"
414,3.18,0.54,2.44,4.62,"turbulento"
415,3.18,3.93,4.35,-0.09,"flujo laminar"
416,3.19,2.71,4.46,4.57,"turbulento"
417,3.20,0.89,3.00,3.30,"turbulento"
418,3.21,2.14,4.50,2.64,"flujo laminar"
419,3.22,1.41,1.57,4.38,"flujo laminar"
420,3.22,4.90,4.01,0.35,"flujo laminar"
421,3.23,0.59,0.31,3.36,"flujo laminar"
422,3.24,0.32,4.45,-0.22,"turbulento"
423,3.25,3.24,2.82,2.68,"flujo laminar"
424,3.25,3.42,1.78,3.81,"turbulento"
425,3.26,4.26,1.14,2.94,"flujo laminar"
426,3.27,2.94,0.77,3.72,"turbulento"
427,3.28,1.50,3.41,-0.23,"flujo laminar"
428,3.28,3.17,0.31,1.75,"flujo laminar"
429,3.29,4.70,3.43,4.30,"turbulento"
430,3.30,4.10,4.42,3.51,"turbulento"
431,3.31,3.73,4.72,2.40,"flujo laminar"
432,3.32,1.94,1.24,1.06,"turbulento"
433,3.32,2.32,3.19,4.11,"turbulento"
434,3.33,1.79,0.94,-0.32,"flujo laminar"
435,3.34,3.19,5.19,2.08,"flujo laminar"
436,3.35,2.68,1.04,3.13,"turbulento"
437,3.35,0.12,3.56,0.05,"turbulento"
438,3.36,4.74,0.47,3.68,"flujo laminar"
439,3.37,2.02,5.31,2.50,"turbulento"
440,3.38,0.07,4.69,0.51,"turbulento"
441,3.38,0.05,2.88,0.72,"turbulento"
442,3.39,1.52,2.86,4.16,"turbulento"
443,3.40,3.49,1.06,1.28,"flujo laminar"
444,3.41,0.96,5.42,0.30,"flujo laminar"
445,3.42,2.17,2.05,-0.64,"flujo laminar"
446,3.42,0.12,1.92,3.23,"flujo laminar"
447,3.43,1.02,4.33,4.02,"turbulento"
448,3.44,3.52,2.79,2.84,"flujo laminar"
449,3.45,4.18,4.90,1.19,"flujo laminar"
450,3.45,2.27,3.34,0.68,"turbulento"
451,3.46,3.93,4.15,1.95,"flujo laminar"
452,3.47,4.37,2.05,-0.41,"turbulento"
453,3.48,0.16,3.97,-0.36,"flujo laminar"
454,3.48,0.41,4.34,1.23,"turbulento"
455,3.49,-0.12,4.69,0.17,"turbulento"
456,3.50,2.17,2.11,-0.59,"flujo laminar"
457,3.51,3.69,3.68,0.06,"turbulento"
458,3.52,4.11,4.06,3.53,"turbulento"
459,3.52,0.42,4.37,-0.57,"turbulento"
460,3.53,2.73,2.02,1.87,"turbulento"
461,3.54,3.86,2.98,1.72,"flujo laminar"
462,3.55,-0.31,3.80,0.86,"turbulento"
463,3.55,4.01,2.22,1.94,"flujo laminar"
464,3.56,3.73,3.26,-0.87,"flujo laminar"
465,3.57,1.46,1.92,-0.22,"turbulento"
466,3.58,3.38,2.53,0.05,"turbulento"
467,3.58,2.04,3.62,3.80,"turbulento"
468,3.59,2.93,4.89,3.20,"flujo laminar"
469,3.60,3.52,5.78,-0.60,"flujo laminar"
470,3.61,0.31,3.43,3.68,"turbulento"
471,3.62,0.82,3.06,2.31,"turbulento"
472,3.62,-0.45,5.11,0.68,"flujo laminar"
473,3.63,-0.27,2.53,-0.63,"turbulento"
474,3.64,0.38,3.10,-0.37,"turbulento"
475,3.65,3.06,2.85,1.37,"flujo laminar"
476,3.65,1.87,5.21,3.72,"turbulento"
477,3.66,3.04,1.94,0.44,"turbulento"
478,3.67,3.42,5.72,2.79,"turbulento"
479,3.68,3.95,4.31,-0.75,"flujo laminar"
480,3.68,2.20,2.84,2.25,"flujo laminar"
481,3.69,3.66,4.22,1.76,"flujo laminar"
482,3.70,0.68,5.20,1.80,"turbulento"
483,3.71,-0.27,2.80,0.44,"turbulento"
484,3.72,3.19,4.92,2.42,"turbulento"
485,3.72,0.07,2.59,3.76,"turbulento"
486,3.73,1.32,3.08,1.94,"flujo laminar"
487,3.74,-0.14,3.63,1.90,"turbulento"
488,3.75,2.09,2.52,-0.50,"flujo laminar"
489,3.75,0.71,2.07,3.82,"turbulento"
490,3.76,2.98,2.19,-0.10,"flujo laminar"
491,3.77,-0.55,3.11,1.23,"flujo laminar"
492,3.78,2.33,1.35,2.11,"turbulento"
493,3.78,-0.35,4.38,3.72,"flujo laminar"
494,3.79,2.51,1.73,3.32,"flujo laminar"
495,3.80,2.37,3.70,3.79,"turbulento"
496,3.81,3.74,5.67,0.54,"flujo laminar"
497,3.82,3.73,5.72,3.85,"turbulento"
498,3.82,3.65,3.14,1.52,"flujo laminar"
499,3.83,0.03,5.51,2.00,"turbulento"
500,3.84,2.78,2.47,3.85,"flujo laminar"
501,3.85,4.00,2.05,1.92,"flujo laminar"
502,3.85,0.78,1.15,0.53,"flujo laminar"
503,3.86,2.13,2.10,2.29,"flujo laminar"
504,3.87,3.03,2.89,2.85,"turbulento"
505,3.88,1.44,1.93,1.68,"turbulento"
506,3.88,1.07,4.60,1.88,"turbulento"
507,3.89,-0.26,1.60,-0.16,"turbulento"
508,3.90,3.51,2.15,2.37,"flujo laminar"
509,3.91,0.87,3.41,2.37,"turbulento"
510,3.92,0.64,4.01,3.31,"turbulento"
