"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","xgz.csv"
"startTime","2025-09-16T04:27:54.349Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","20 Hz"
"totalSamples","200"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.70","1.55","-0.84","5.87"
"Sensor 2","2.72","1.65","-0.92","5.99"
"Sensor 3","2.31","1.68","-0.97","5.59"
"Sensor 4","2.42","1.62","-0.87","5.81"

"#RAW_HEADERS",time,sensor1,sensor2,sensor3,sensor4
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 2","Sensor 3","Sensor 4"
103,5.15,0.98,2.38,4.22,2.89
104,5.20,2.09,3.17,4.57,1.22
105,5.25,1.38,2.51,2.90,1.19
106,5.30,3.55,3.37,0.43,3.38
107,5.35,3.55,-0.78,0.78,5.25
108,5.40,3.08,3.11,0.37,4.55
109,5.45,1.57,2.87,2.26,3.44
110,5.50,0.57,3.66,-0.37,2.08
111,5.55,1.25,3.43,3.95,3.93
112,5.60,2.17,2.46,0.15,-0.04
113,5.65,1.41,-0.54,3.49,2.94
114,5.70,1.30,-0.92,-0.78,-0.12
115,5.75,3.24,0.55,0.49,2.78
116,5.80,0.91,1.61,-0.02,1.82
117,5.85,0.29,1.35,0.15,1.74
118,5.90,1.54,3.30,1.00,2.93
119,5.95,2.92,3.25,1.98,0.75
120,6.00,3.11,1.41,1.90,-0.55
121,6.05,0.51,1.17,0.72,1.60
122,6.10,1.06,-0.13,0.89,0.98
123,6.15,1.05,3.32,1.71,1.89
124,6.20,3.34,3.21,0.69,2.83
125,6.25,1.26,1.68,0.77,3.40
126,6.30,3.30,4.56,4.30,3.72
127,6.35,1.50,3.19,4.90,4.26
128,6.40,4.53,5.08,3.54,0.95
129,6.45,3.96,4.04,4.41,1.53
130,6.50,0.31,1.08,1.27,1.05
131,6.55,4.65,4.35,1.40,5.49
132,6.60,4.23,3.31,3.28,5.01
133,6.65,2.59,2.61,1.54,3.37
134,6.70,2.87,2.34,1.10,4.13
135,6.75,3.70,5.71,3.17,1.79
136,6.80,1.82,1.20,4.14,0.98
137,6.85,1.61,5.74,4.98,5.27
138,6.90,3.65,5.01,1.42,3.96
139,6.95,3.92,5.63,2.66,1.78
140,7.00,3.31,5.57,4.58,2.69
141,7.05,2.06,4.48,1.82,4.05
142,7.10,2.50,1.02,0.88,-0.09
143,7.15,2.56,2.18,0.74,2.54
144,7.20,5.25,1.85,3.35,0.57
145,7.25,3.34,4.71,0.41,1.21
146,7.30,4.85,5.38,0.27,0.85
147,7.35,2.61,2.29,3.69,0.21
148,7.40,2.67,1.27,2.74,-0.12
149,7.45,1.30,2.51,0.14,1.04
150,7.50,4.93,5.29,-0.31,1.58
151,7.55,4.78,5.46,0.42,1.21
152,7.60,2.59,2.42,-0.42,-0.30
153,7.65,3.34,1.50,3.07,1.23
154,7.70,2.86,4.36,-0.87,0.86
155,7.75,1.98,2.60,1.65,1.03
156,7.80,4.05,1.47,-0.97,2.64
157,7.85,5.87,3.32,-0.55,0.69
158,7.90,5.67,1.20,1.39,1.98
159,7.95,4.81,0.24,1.96,1.81
160,8.00,2.69,0.90,1.11,3.84
161,8.05,2.08,-0.12,0.27,4.29
162,8.10,1.13,-0.35,2.79,3.46
163,8.15,4.80,3.89,2.92,4.49
164,8.20,4.75,2.65,4.46,4.81
165,8.25,1.77,3.33,-0.22,2.28
166,8.30,1.08,2.43,3.26,5.41
167,8.35,5.73,1.10,0.31,0.98
168,8.40,1.10,3.79,0.84,4.88
169,8.45,3.51,1.96,4.28,5.37
170,8.50,2.00,1.95,3.81,2.55
171,8.55,5.57,0.97,2.31,0.46
172,8.60,4.87,3.87,1.83,1.05
173,8.65,0.85,2.43,2.07,4.44
174,8.70,2.99,-0.19,5.09,3.73
175,8.75,2.29,3.56,4.90,0.31
176,8.80,4.58,3.14,4.54,2.25
177,8.85,2.13,-0.20,2.22,0.77
178,8.90,4.59,1.80,5.00,2.74
179,8.95,2.00,2.89,1.52,-0.58
180,9.00,1.26,2.20,1.24,0.99
181,9.05,5.24,2.57,4.66,2.78
182,9.10,2.42,1.01,1.30,3.35
183,9.15,2.54,3.87,4.12,0.40
184,9.20,5.10,2.03,1.08,1.52
185,9.25,4.65,3.08,1.14,0.82
186,9.30,1.80,3.28,4.74,1.91
187,9.35,3.77,4.24,3.02,2.72
188,9.40,2.52,3.14,3.95,4.27
189,9.45,2.37,3.51,1.95,0.87
190,9.50,2.77,0.75,2.96,1.17
191,9.55,2.19,2.31,3.17,2.60
192,9.60,-0.09,3.99,3.07,2.13
193,9.65,0.10,2.01,2.08,4.42
194,9.70,-0.11,1.73,0.82,3.02
195,9.75,3.72,3.02,-0.45,4.61
196,9.80,1.23,3.45,0.44,1.70
197,9.85,0.79,3.37,2.22,2.89
198,9.90,-0.17,4.00,1.77,3.54
199,9.95,2.89,4.98,2.01,5.17
200,10.00,3.21,5.51,0.50,1.41
