"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","dsa.csv"
"startTime","2025-09-15T03:43:28.235Z"
"durationLabel","9.32s"
"samplesPerSecondLabel","25 Hz"
"totalSamples","233"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
119,4.76,1.61,1.19,2.64
120,4.80,3.04,3.52,5.93
121,4.84,2.81,2.76,1.66
122,4.88,1.47,1.11,1.76
123,4.92,2.91,3.17,5.21
124,4.96,-0.06,3.29,3.73
125,5.00,3.90,3.66,2.38
126,5.04,0.29,2.60,0.97
127,5.08,-0.54,1.06,1.76
128,5.12,3.64,3.51,3.47
129,5.16,1.59,1.11,3.33
130,5.20,2.05,1.99,3.45
131,5.24,0.50,1.90,3.70
132,5.28,1.72,0.82,1.73
133,5.32,1.93,0.76,-0.03
134,5.36,2.43,2.59,0.76
135,5.40,0.36,-0.49,0.32
136,5.44,1.65,0.51,1.21
137,5.48,2.19,0.10,1.69
138,5.52,-0.08,0.56,1.87
139,5.56,1.39,1.20,1.95
140,5.60,3.13,3.93,-0.23
141,5.64,1.36,3.20,1.57
142,5.68,0.36,0.55,0.20
143,5.72,0.28,0.79,3.58
144,5.76,1.89,1.06,2.00
145,5.80,0.84,0.20,2.70
146,5.84,2.82,0.34,2.67
147,5.88,2.07,2.86,2.72
148,5.92,3.69,3.53,1.78
149,5.96,1.17,0.73,2.24
150,6.00,3.78,3.80,0.41
151,6.04,2.97,4.12,1.91
152,6.08,3.95,0.76,0.05
153,6.12,-0.15,2.39,2.64
154,6.16,4.62,0.94,4.02
155,6.20,0.65,1.46,3.62
156,6.24,4.77,0.79,4.45
157,6.28,0.84,0.47,2.48
158,6.32,3.85,3.26,4.91
159,6.36,2.93,1.27,1.89
160,6.40,4.23,1.40,2.03
161,6.44,4.99,1.91,0.95
162,6.48,2.86,1.97,4.33
163,6.52,1.83,4.99,3.03
164,6.56,3.49,3.96,4.91
165,6.60,2.54,4.42,4.25
166,6.64,3.19,5.45,5.75
167,6.68,2.36,5.02,5.91
168,6.72,0.82,3.15,4.86
169,6.76,3.27,2.90,3.62
170,6.80,1.22,2.80,4.40
171,6.84,3.05,5.52,2.13
172,6.88,3.34,2.92,1.44
173,6.92,5.21,2.09,1.27
174,6.96,3.34,1.37,5.54
175,7.00,1.86,4.44,4.23
176,7.04,2.30,4.77,2.53
177,7.08,5.54,2.08,3.99
178,7.12,0.90,1.65,4.86
179,7.16,1.00,5.26,4.57
180,7.20,4.94,3.46,4.73
181,7.24,5.17,5.10,0.91
182,7.28,2.65,5.37,0.79
183,7.32,5.07,1.70,3.05
184,7.36,2.81,1.53,3.04
185,7.40,2.64,4.01,4.63
186,7.44,1.77,4.02,1.14
187,7.48,1.60,1.97,3.86
188,7.52,1.89,1.19,2.61
189,7.56,4.61,1.35,0.34
190,7.60,0.98,2.63,0.27
191,7.64,4.20,4.11,-0.70
192,7.68,2.30,2.69,1.37
193,7.72,1.03,2.83,1.67
194,7.76,5.92,1.43,2.81
195,7.80,4.47,0.41,-0.43
196,7.84,4.14,2.84,1.53
197,7.88,3.32,3.22,-0.30
198,7.92,4.99,4.36,-0.34
199,7.96,3.22,1.18,2.44
200,8.00,1.06,0.50,0.50
201,8.04,5.51,0.91,1.89
202,8.08,1.28,2.71,1.89
203,8.12,1.21,0.36,2.61
204,8.16,5.08,3.40,2.69
205,8.20,3.66,-0.43,2.17
206,8.24,3.72,2.20,2.91
207,8.28,1.58,1.63,2.94
208,8.32,1.84,0.88,1.34
209,8.36,4.34,2.64,2.37
210,8.40,0.92,2.74,3.89
211,8.44,0.88,1.97,0.90
212,8.48,5.79,-0.84,2.05
213,8.52,3.01,1.02,1.76
214,8.56,5.17,3.76,0.69
215,8.60,4.19,-0.98,5.58
216,8.64,3.65,2.93,3.66
217,8.68,1.93,3.69,3.01
218,8.72,0.89,2.87,5.49
219,8.76,4.18,1.33,4.96
220,8.80,3.31,1.03,5.05
221,8.84,4.29,0.05,5.35
222,8.88,2.40,2.94,2.16
223,8.92,1.81,1.86,5.88
224,8.96,3.42,2.08,2.19
225,9.00,3.64,2.34,3.65
226,9.04,3.62,2.80,4.95
227,9.08,2.67,3.87,5.01
228,9.12,4.40,-0.38,1.54
229,9.16,2.00,0.58,2.14
230,9.20,2.44,-0.34,2.61
231,9.24,3.54,0.24,2.10
232,9.28,4.25,1.50,3.70
233,9.32,0.36,1.21,2.68
