"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","medicion_017.csv"
"startTime","2025-09-16T06:44:30.545Z"
"durationLabel","6.20s"
"samplesPerSecondLabel","150 Hz"
"totalSamples","930"
"dominantRegimen","indeterminado"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.40","1.65","-0.93","5.95"
"Sensor 2","2.57","1.56","-0.99","5.97"
"Sensor 3","2.53","1.65","-0.99","5.93"
"Sensor 4","2.54","1.60","-0.91","5.98"
"Sensor 5","2.54","1.61","-0.88","5.79"

"#RAW_HEADERS",time,sensor1,sensor2,sensor3,sensor4,sensor5
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 2","Sensor 3","Sensor 4","Sensor 5"
85,0.57,3.48,4.32,2.65,5.48,4.33
86,0.57,4.77,3.49,5.88,4.22,1.71
87,0.58,3.64,2.42,3.61,2.30,0.33
88,0.59,1.16,1.72,1.51,2.64,2.78
89,0.59,2.71,4.54,4.40,1.26,0.62
90,0.60,3.23,4.66,5.38,3.93,0.44
91,0.61,1.25,2.78,3.08,0.68,0.49
92,0.61,2.48,1.64,1.90,1.66,1.06
93,0.62,1.97,2.08,2.76,3.89,3.87
94,0.63,2.10,2.05,5.84,5.36,3.73
95,0.63,1.19,2.49,1.86,4.23,1.07
96,0.64,4.61,4.12,2.99,3.61,1.31
97,0.65,0.86,4.83,2.75,3.37,4.62
98,0.65,2.45,3.83,5.20,3.08,2.99
99,0.66,1.71,5.01,1.03,3.37,3.90
100,0.67,1.80,3.70,4.86,0.48,1.29
101,0.67,5.01,5.09,3.30,3.63,0.62
102,0.68,1.21,4.79,1.27,1.61,1.16
103,0.69,1.63,4.95,2.70,4.02,3.81
104,0.69,1.01,3.53,1.20,0.88,4.08
105,0.70,5.16,5.12,2.08,1.08,3.31
106,0.71,2.26,2.79,5.69,1.83,3.03
107,0.71,0.73,1.60,5.70,5.00,3.52
108,0.72,3.53,5.21,0.90,1.97,0.33
109,0.73,2.19,5.17,2.10,4.38,1.62
110,0.73,2.01,4.35,5.15,2.01,2.35
111,0.74,2.19,5.00,2.50,4.82,3.69
112,0.75,0.77,4.43,3.25,0.72,1.80
113,0.75,3.79,4.34,1.85,4.05,1.57
114,0.76,1.80,1.81,1.72,2.77,1.17
115,0.77,3.95,2.83,1.52,0.83,1.45
116,0.77,1.78,1.11,3.03,2.86,1.35
117,0.78,3.81,2.99,2.46,3.93,1.64
118,0.79,3.24,2.79,4.40,4.21,3.48
119,0.79,2.43,4.14,1.15,0.59,0.77
120,0.80,4.95,5.71,1.93,4.28,1.07
121,0.81,4.88,1.89,4.67,1.86,4.08
122,0.81,4.62,5.37,0.75,2.74,0.31
123,0.82,4.14,3.44,2.39,3.29,3.99
124,0.83,2.54,5.45,0.88,0.08,0.98
125,0.83,4.28,4.48,5.54,4.13,1.19
126,0.84,3.11,1.84,5.00,3.10,4.01
127,0.85,3.15,3.36,1.79,0.73,3.57
128,0.85,1.88,1.14,5.23,2.50,-0.38
129,0.86,5.38,2.03,3.41,3.90,-0.39
130,0.87,2.88,3.77,3.38,1.34,0.09
131,0.87,5.55,2.95,2.85,2.56,-0.39
132,0.88,3.03,2.49,3.00,2.39,1.65
133,0.89,5.02,2.99,2.43,3.92,3.65
134,0.89,4.64,1.26,4.32,1.74,-0.01
135,0.90,0.96,4.65,3.20,4.04,3.32
136,0.91,5.23,2.97,4.97,1.01,0.98
137,0.91,3.90,3.18,3.97,1.04,3.49
138,0.92,5.57,1.47,2.12,0.60,3.18
139,0.93,0.94,2.79,2.17,2.98,3.61
140,0.93,2.64,3.53,4.42,2.38,-0.22
141,0.94,3.00,4.46,3.34,-0.50,2.75
142,0.95,3.99,3.40,1.73,0.12,0.45
143,0.95,3.42,2.49,4.05,2.05,1.92
144,0.96,5.19,2.01,1.72,-0.63,-0.71
145,0.97,2.04,2.49,2.70,2.27,2.78
146,0.97,3.94,1.27,2.34,1.92,0.22
147,0.98,1.16,5.75,2.12,0.52,0.10
148,0.99,2.55,4.88,0.33,-0.65,1.94
149,0.99,1.13,1.14,3.77,-0.10,0.30
150,1.00,3.82,1.56,4.11,0.41,-0.84
151,1.01,5.39,3.24,2.06,3.02,2.97
152,1.01,1.33,2.83,2.84,4.11,3.56
153,1.02,3.86,0.96,4.02,3.90,1.78
154,1.03,1.90,4.31,3.17,-0.66,3.40
155,1.03,0.98,5.31,1.98,3.42,3.58
156,1.04,3.52,3.58,0.30,1.89,1.93
157,1.05,5.44,1.33,1.40,1.50,0.64
158,1.05,3.39,5.22,4.36,2.52,-0.42
159,1.06,4.30,4.77,2.55,1.68,1.14
160,1.07,5.08,3.30,2.94,-0.39,1.80
161,1.07,1.10,1.38,0.16,3.94,3.36
162,1.08,2.81,5.62,3.37,1.16,3.28
163,1.09,4.72,4.86,1.35,0.40,3.95
164,1.09,3.85,2.21,2.40,0.95,1.80
165,1.10,5.14,3.02,4.00,2.86,1.85
166,1.11,5.77,3.92,1.03,-0.53,1.19
167,1.11,1.10,5.47,3.26,1.29,1.91
168,1.12,4.94,3.72,-0.11,2.67,0.01
169,1.13,4.99,4.39,0.88,1.86,-0.22
170,1.13,2.48,4.84,3.92,1.40,4.34
171,1.14,1.06,1.62,4.10,2.87,-0.33
172,1.15,5.25,3.40,2.14,0.59,2.12
173,1.15,3.42,2.43,2.37,-0.88,2.79
174,1.16,4.68,3.06,-0.07,2.12,2.88
175,1.17,4.84,3.05,2.23,-0.44,-0.03
176,1.17,2.29,0.95,4.20,-0.73,0.07
177,1.18,5.06,5.64,3.87,2.63,2.49
178,1.19,5.91,3.03,0.14,1.57,0.46
179,1.19,5.42,2.40,3.77,2.52,2.75
180,1.20,5.59,3.63,0.97,-0.83,1.68
181,1.21,2.11,2.02,1.98,0.01,4.55
182,1.21,2.30,5.48,2.94,2.55,2.96
183,1.22,2.94,4.67,2.49,0.01,3.74
184,1.23,4.94,4.59,2.73,0.50,3.74
185,1.23,1.02,0.88,2.34,1.48,3.59
186,1.24,3.73,3.34,2.18,1.64,3.98
187,1.25,5.20,4.45,3.81,1.13,2.14
188,1.25,5.40,1.28,1.75,2.74,4.06
189,1.26,2.46,5.17,0.91,3.82,3.78
190,1.27,1.39,2.86,0.51,0.75,1.81
191,1.27,2.55,2.56,4.05,1.91,4.64
192,1.28,4.80,5.04,3.32,3.18,2.08
193,1.29,2.76,5.24,2.17,-0.25,3.85
194,1.29,5.73,1.07,0.20,0.80,0.58
195,1.30,3.13,3.88,2.49,-0.32,5.13
196,1.31,4.89,5.07,3.36,2.90,1.86
197,1.31,1.91,2.56,0.54,1.19,2.85
198,1.32,1.70,0.54,-0.64,2.55,2.04
199,1.33,1.58,1.52,3.25,3.61,3.12
200,1.33,3.31,1.53,3.64,3.41,3.07
201,1.34,4.62,2.72,1.62,1.69,0.97
202,1.35,1.04,2.43,2.75,-0.70,4.02
203,1.35,4.66,4.38,0.77,2.44,2.45
204,1.36,2.73,2.17,1.64,0.09,4.39
205,1.37,3.29,4.84,0.27,-0.57,5.22
206,1.37,1.91,2.08,4.00,2.65,2.04
207,1.38,1.19,0.43,1.85,3.38,4.58
208,1.39,2.78,1.26,4.03,0.69,4.77
209,1.39,1.58,3.10,0.41,4.23,3.67
210,1.40,1.56,2.54,1.03,2.06,2.63
211,1.41,4.19,5.25,-0.84,3.53,4.71
212,1.41,4.58,3.08,3.87,3.97,3.84
213,1.42,5.69,2.31,3.74,4.13,4.70
214,1.43,1.95,2.93,1.67,-0.23,4.83
215,1.43,3.57,3.26,3.13,-0.31,3.23
216,1.44,3.25,3.86,2.86,0.27,5.27
217,1.45,3.89,4.86,0.29,0.88,5.14
218,1.45,1.24,3.69,-0.83,2.16,1.87
219,1.46,5.39,3.57,3.50,1.46,5.51
220,1.47,5.31,3.97,-0.68,2.95,2.57
221,1.47,2.28,5.04,3.00,1.16,4.23
222,1.48,4.32,0.87,-0.26,3.85,4.30
223,1.49,3.03,4.98,1.69,4.36,4.84
224,1.49,2.27,2.75,1.37,3.76,3.70
225,1.50,4.94,3.07,0.33,0.00,1.37
226,1.51,4.74,1.28,1.49,0.55,5.09
227,1.51,5.41,1.12,3.44,2.73,1.08
228,1.52,5.03,0.46,3.45,2.23,2.86
229,1.53,5.31,5.03,1.93,3.85,4.54
230,1.53,5.09,1.53,3.90,4.32,3.56
231,1.54,4.83,3.11,3.14,4.83,4.14
232,1.55,3.76,4.26,3.17,0.93,5.52
233,1.55,4.86,1.18,2.39,0.64,3.31
234,1.56,3.07,3.22,0.14,0.77,4.52
235,1.57,4.00,2.81,3.96,4.38,4.34
236,1.57,4.71,1.97,1.14,0.68,1.41
237,1.58,1.95,4.61,-0.39,1.96,3.41
238,1.59,4.64,0.58,1.02,0.44,5.49
239,1.59,1.53,4.24,1.70,0.60,1.53
240,1.60,2.75,3.84,1.48,4.56,2.98
241,1.61,4.00,0.29,3.45,2.78,3.45
242,1.61,1.74,0.94,0.67,4.46,5.05
243,1.62,4.57,0.89,-0.87,1.14,5.50
244,1.63,1.27,1.07,-0.80,4.25,4.51
245,1.63,5.95,3.69,1.20,2.89,2.46
246,1.64,5.07,4.85,-0.36,1.04,3.32
247,1.65,5.76,4.25,1.33,4.31,2.66
248,1.65,1.21,1.07,0.60,3.92,2.85
249,1.66,5.23,3.44,0.38,5.22,2.27
250,1.67,2.25,1.80,-0.67,1.90,0.95
251,1.67,4.60,1.36,1.00,5.39,3.90
252,1.68,1.15,0.95,-0.81,0.71,2.56
253,1.69,5.15,2.77,2.95,0.90,1.67
254,1.69,1.03,4.51,2.49,1.86,5.12
255,1.70,5.29,3.69,2.33,2.63,4.72
256,1.71,1.64,3.02,0.49,0.77,2.25
257,1.71,2.76,1.71,0.66,2.86,4.48
258,1.72,4.54,-0.10,-0.21,1.06,5.40
259,1.73,3.32,2.80,-0.28,3.14,1.78
260,1.73,1.40,0.00,0.51,2.08,5.21
261,1.74,5.65,3.62,1.29,2.39,4.68
262,1.75,1.20,4.63,0.21,4.98,4.98
263,1.75,5.23,4.52,1.28,1.13,0.78
264,1.76,2.07,3.25,4.14,3.74,0.72
265,1.77,1.24,0.30,1.96,3.61,1.90
266,1.77,3.16,3.08,-0.15,5.03,4.50
267,1.78,5.91,0.17,2.91,3.88,2.45
268,1.79,2.79,0.08,1.44,2.36,2.35
269,1.79,1.26,-0.02,2.20,1.17,2.94
270,1.80,2.53,4.29,3.04,3.94,3.50
271,1.81,1.15,3.16,-0.25,4.51,3.19
272,1.81,2.73,4.27,1.51,1.97,3.37
273,1.82,2.58,2.42,0.18,2.04,4.25
274,1.83,2.35,2.44,0.65,1.37,1.83
275,1.83,5.62,0.01,0.40,3.53,1.96
276,1.84,1.53,2.83,-0.61,1.59,4.62
277,1.85,3.12,1.75,1.65,2.21,3.06
278,1.85,2.30,3.42,2.52,2.79,4.00
279,1.86,4.70,1.16,3.01,4.89,1.13
280,1.87,3.37,2.27,1.90,2.69,0.71
281,1.87,4.33,0.31,4.34,4.86,3.51
282,1.88,2.36,2.69,3.93,4.27,1.46
283,1.89,2.05,2.93,3.15,2.95,1.07
284,1.89,1.72,4.09,0.39,2.97,0.30
285,1.90,2.22,3.53,1.07,4.82,1.26
286,1.91,4.91,2.31,2.99,3.50,0.67
287,1.91,2.82,-0.41,4.26,2.37,1.74
288,1.92,4.15,1.84,1.67,2.05,3.77
289,1.93,5.84,2.22,1.11,4.41,3.89
290,1.93,2.01,2.59,1.04,1.92,2.12
291,1.94,4.74,3.32,2.61,5.85,3.66
292,1.95,4.88,1.17,0.45,3.61,3.80
293,1.95,4.25,1.78,4.17,1.30,-0.18
294,1.96,5.46,0.11,0.88,5.44,2.76
295,1.97,3.07,0.96,3.48,4.38,0.35
296,1.97,1.84,3.27,1.81,2.12,2.19
297,1.98,1.87,2.89,0.90,2.25,1.98
298,1.99,4.20,2.40,0.81,3.21,3.92
299,1.99,3.29,-0.20,0.61,3.34,2.02
300,2.00,0.94,2.41,2.90,1.51,2.68
301,2.01,2.35,0.73,2.20,5.40,3.91
302,2.01,1.19,0.26,1.16,4.49,1.47
303,2.02,3.63,2.27,3.24,2.97,2.67
304,2.03,3.24,2.71,0.25,3.85,1.05
305,2.03,3.88,0.85,3.69,3.36,1.74
306,2.04,4.46,2.93,4.76,1.57,1.63
307,2.05,2.35,3.94,2.96,2.64,1.36
308,2.05,0.95,0.62,-0.11,4.28,3.43
309,2.06,5.32,3.47,3.47,2.81,1.84
310,2.07,4.28,2.90,4.22,3.09,2.37
311,2.07,3.93,2.16,2.75,2.23,1.99
312,2.08,2.01,4.07,3.33,4.53,3.39
313,2.09,2.12,2.94,2.05,5.72,2.81
314,2.09,2.08,3.00,2.00,5.24,3.67
315,2.10,3.58,0.47,4.73,4.92,1.61
316,2.11,3.57,2.09,4.34,4.43,2.87
317,2.11,5.85,0.36,0.13,2.72,1.61
318,2.12,4.96,-0.34,4.87,1.12,3.34
319,2.13,1.49,1.14,4.18,5.76,-0.79
320,2.13,5.58,2.90,4.70,3.41,3.21
321,2.14,1.85,2.16,5.10,5.14,0.92
322,2.15,3.36,1.88,1.28,1.33,-0.84
323,2.15,1.35,1.48,3.42,5.53,2.48
324,2.16,2.35,2.17,5.09,3.66,2.92
325,2.17,2.68,0.59,4.15,5.47,0.20
326,2.17,1.57,-0.68,0.51,3.63,2.63
327,2.18,1.01,0.52,1.25,2.02,0.30
328,2.19,5.73,0.39,4.60,3.18,2.94
329,2.19,3.65,1.92,5.18,3.51,0.75
330,2.20,2.44,3.00,2.41,2.63,2.65
331,2.21,3.14,0.93,4.51,1.63,0.91
332,2.21,4.10,4.01,3.23,5.47,0.52
333,2.22,2.20,1.34,2.96,1.85,3.74
334,2.23,4.83,-0.63,1.10,2.43,0.87
335,2.23,3.22,1.39,4.68,3.90,-0.19
336,2.24,4.98,1.75,5.31,2.14,3.64
337,2.25,0.84,0.23,4.28,3.01,3.46
338,2.25,2.54,2.94,3.90,0.90,0.25
339,2.26,4.74,2.43,5.31,3.14,0.32
340,2.27,5.59,0.84,2.23,3.23,1.62
341,2.27,1.00,3.22,0.63,1.58,-0.39
342,2.28,1.92,1.36,3.54,1.73,3.14
343,2.29,4.91,1.73,1.71,1.10,0.25
344,2.29,5.23,3.33,4.90,3.04,2.09
345,2.30,3.32,1.07,3.17,1.61,1.57
346,2.31,2.16,0.45,1.84,4.20,-0.03
347,2.31,2.56,-0.99,2.27,1.91,-0.05
348,2.32,3.64,2.35,5.17,0.79,0.42
349,2.33,2.72,1.77,2.87,4.40,2.26
350,2.33,1.89,3.86,5.44,2.47,2.86
351,2.34,3.39,0.70,5.45,4.20,-0.02
352,2.35,5.59,0.32,4.51,2.69,-0.60
353,2.35,5.20,1.58,3.63,2.58,0.62
354,2.36,3.39,0.45,2.45,0.04,1.46
355,2.37,4.66,2.48,5.48,1.44,2.07
356,2.37,3.43,0.40,4.98,0.11,2.01
357,2.38,3.49,2.66,5.41,4.06,0.47
358,2.39,2.65,3.05,2.62,4.60,0.02
359,2.39,0.93,1.15,1.60,2.89,1.18
360,2.40,2.40,2.48,4.87,0.48,2.74
361,2.41,2.82,3.30,3.70,2.63,2.42
362,2.41,2.18,0.50,2.74,-0.19,0.84
363,2.42,2.07,2.84,4.03,2.11,4.39
364,2.43,3.26,0.80,2.99,2.64,1.34
365,2.43,3.30,3.84,1.60,0.02,2.16
366,2.44,2.07,1.90,4.58,3.37,3.31
367,2.45,1.12,0.14,5.07,-0.14,2.76
368,2.45,3.37,0.89,5.05,2.34,1.26
369,2.46,4.30,3.13,3.03,3.98,-0.22
370,2.47,0.95,1.78,5.26,-0.11,2.80
371,2.47,2.58,2.34,5.69,0.02,3.60
372,2.48,3.93,0.89,5.01,-0.05,1.70
373,2.49,3.20,1.47,5.34,4.26,4.52
374,2.49,5.00,0.47,4.29,2.88,4.61
375,2.50,2.51,-0.87,1.99,0.61,3.02
376,2.51,4.37,1.94,5.90,0.23,2.46
377,2.51,3.80,1.66,5.54,0.47,2.38
378,2.52,4.83,-0.28,5.53,3.26,1.53
379,2.53,5.01,1.86,5.93,3.93,0.75
380,2.53,2.60,0.28,2.55,4.06,5.01
381,2.54,1.87,2.61,1.43,0.31,1.53
382,2.55,4.69,0.93,1.24,2.42,4.28
383,2.55,5.43,1.85,5.47,3.79,3.84
384,2.56,4.69,-0.83,1.24,3.53,4.31
385,2.57,3.78,1.79,5.52,1.88,3.83
386,2.57,3.23,1.01,5.63,0.04,1.63
387,2.58,0.96,2.95,5.33,2.36,3.23
388,2.59,4.43,3.39,3.92,1.94,4.68
389,2.59,4.91,0.47,2.16,1.30,1.59
390,2.60,4.85,4.00,4.19,0.68,2.11
391,2.61,4.17,2.89,1.99,3.46,1.58
392,2.61,4.99,2.80,2.08,0.42,4.57
393,2.62,1.45,0.07,5.02,2.15,1.46
394,2.63,1.61,1.45,2.81,1.76,5.28
395,2.63,2.42,-0.48,3.45,2.28,4.89
396,2.64,3.22,3.24,3.56,3.90,1.38
397,2.65,3.35,2.07,3.79,3.83,5.12
398,2.65,5.13,2.55,3.63,2.49,1.23
399,2.66,4.54,2.24,3.77,2.94,5.06
400,2.67,1.14,1.59,5.74,1.22,5.49
401,2.67,3.73,2.67,4.34,0.47,3.66
402,2.68,2.12,1.18,5.43,2.66,5.04
403,2.69,1.56,1.30,4.08,3.33,3.33
404,2.69,1.80,-0.28,5.24,2.89,5.65
405,2.70,2.88,3.30,5.52,-0.40,5.57
406,2.71,0.78,0.77,5.36,3.63,5.42
407,2.71,1.22,4.17,5.29,-0.84,3.37
408,2.72,4.16,1.89,2.50,3.95,2.47
409,2.73,4.32,2.29,3.18,2.26,4.69
410,2.73,5.15,-0.19,3.02,2.14,1.72
411,2.74,1.28,2.69,5.03,0.46,2.00
412,2.75,4.48,3.21,4.98,1.22,3.18
413,2.75,1.26,2.95,1.42,-0.03,1.75
414,2.76,4.78,1.34,4.07,-0.20,1.89
415,2.77,2.88,1.67,3.86,-0.80,5.15
416,2.77,5.27,3.37,1.16,3.32,4.87
417,2.78,3.68,3.96,2.81,1.84,1.52
418,2.79,5.04,2.94,4.11,2.68,2.52
419,2.79,2.68,3.63,1.27,2.67,5.62
420,2.80,3.82,1.14,1.48,1.30,3.34
421,2.81,0.37,2.57,5.06,-0.25,5.29
422,2.81,0.48,1.23,3.25,1.68,3.20
423,2.82,2.68,3.61,1.07,-0.91,3.25
424,2.83,2.17,1.23,2.14,2.90,3.83
425,2.83,3.03,-0.22,5.39,0.73,5.52
426,2.84,5.10,4.21,1.19,3.77,2.51
427,2.85,0.86,1.13,1.01,-0.64,3.71
428,2.85,0.40,4.45,3.23,-0.34,4.38
429,2.86,2.11,3.50,4.90,2.61,5.19
430,2.87,1.33,1.28,5.10,-0.80,3.57
431,2.87,0.74,2.42,4.60,1.88,5.52
432,2.88,0.36,1.66,1.60,3.49,3.65
433,2.89,5.05,2.03,2.68,0.92,2.90
434,2.89,3.86,-0.10,3.63,-0.03,2.25
435,2.90,2.01,4.28,5.27,-0.25,2.01
436,2.91,1.73,2.51,1.88,1.99,1.96
437,2.91,0.37,3.69,3.76,0.90,1.12
438,2.92,1.18,1.30,5.26,0.24,2.47
439,2.93,1.31,0.81,3.73,1.10,1.59
440,2.93,5.15,1.68,2.40,1.71,4.22
441,2.94,2.66,2.34,2.35,1.27,4.58
442,2.95,0.70,1.67,1.03,1.09,2.85
443,2.95,0.43,2.66,4.39,2.25,2.67
444,2.96,4.25,2.05,1.95,3.36,5.55
445,2.97,1.58,2.15,1.03,3.88,3.41
446,2.97,4.35,1.75,1.99,1.39,5.59
447,2.98,3.83,3.03,2.81,4.35,0.96
448,2.99,1.53,2.02,3.65,-0.47,4.05
449,2.99,1.94,4.37,1.75,1.86,3.27
450,3.00,3.05,1.97,3.99,2.33,5.08
451,3.01,0.81,3.05,0.71,2.81,2.48
452,3.01,1.21,1.49,3.38,0.14,2.99
453,3.02,1.86,4.66,3.10,1.79,2.67
454,3.03,4.19,2.85,4.58,1.18,0.99
455,3.03,0.96,1.29,0.45,1.72,4.34
456,3.04,0.36,2.45,1.13,1.23,3.24
457,3.05,2.15,3.15,3.24,0.94,1.74
458,3.05,2.74,2.79,1.73,3.97,1.00
459,3.06,1.85,4.25,4.12,1.37,5.14
460,3.07,2.85,1.35,4.81,4.36,5.27
461,3.07,4.89,4.58,4.40,2.12,1.71
462,3.08,2.26,4.07,4.98,0.65,0.57
463,3.09,0.52,4.66,4.48,3.71,0.77
464,3.09,1.26,0.72,3.35,2.78,4.91
465,3.10,4.62,1.68,3.73,4.26,2.03
466,3.11,0.79,2.17,1.35,2.69,1.75
467,3.11,3.44,2.67,3.35,4.65,3.70
468,3.12,3.40,4.11,1.80,1.96,4.16
469,3.13,0.29,0.29,4.70,1.24,1.23
470,3.13,4.73,2.56,3.45,3.83,1.94
471,3.14,3.81,0.22,3.20,0.10,0.48
472,3.15,0.62,2.56,2.54,4.96,3.73
473,3.15,4.71,4.26,3.77,4.85,3.61
474,3.16,1.22,4.83,4.78,2.63,-0.07
475,3.17,2.25,2.05,1.73,3.98,1.32
476,3.17,2.61,2.77,3.54,4.16,3.52
477,3.18,0.90,4.89,0.66,4.24,0.26
478,3.19,0.39,0.17,2.08,3.55,1.94
479,3.19,4.39,1.98,0.31,3.85,0.53
480,3.20,3.18,2.56,4.09,0.77,1.81
481,3.21,1.52,1.08,1.92,2.40,1.54
482,3.21,2.41,1.43,4.15,3.38,-0.34
483,3.22,0.76,3.24,3.77,2.56,4.16
484,3.23,0.77,4.48,4.60,4.40,4.24
485,3.23,3.47,4.18,1.11,1.49,0.54
486,3.24,4.83,4.48,1.77,4.95,2.47
487,3.25,1.28,1.64,0.03,3.48,-0.07
488,3.25,0.51,0.25,1.08,4.84,3.14
489,3.26,3.35,2.13,3.94,2.25,1.09
490,3.27,3.69,1.08,2.89,3.96,2.87
491,3.27,0.34,1.51,3.14,1.20,3.07
492,3.28,2.49,1.17,0.97,1.74,1.89
493,3.29,1.76,2.51,1.51,3.53,1.71
494,3.29,1.78,4.23,0.43,0.66,1.52
495,3.30,0.09,1.98,3.21,3.51,1.28
496,3.31,0.25,1.95,1.10,1.36,2.73
497,3.31,1.24,3.35,3.82,2.04,2.05
498,3.32,4.65,2.70,0.02,4.18,0.88
499,3.33,3.81,3.58,2.79,5.40,3.30
500,3.33,1.62,4.80,4.23,1.93,2.03
501,3.34,3.40,3.80,-0.29,4.31,2.66
502,3.35,3.53,4.24,-0.39,4.86,2.26
503,3.35,1.92,3.95,0.66,0.81,2.65
504,3.36,0.06,1.74,2.92,2.34,3.42
