"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","qq.csv"
"startTime","2025-09-16T04:50:53.681Z"
"durationLabel","23.55s"
"samplesPerSecondLabel","20 Hz"
"totalSamples","471"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.50","1.66","-0.89","5.92"
"Sensor 2","2.61","1.51","-1.00","5.82"
"Sensor 3","2.54","1.57","-0.92","5.90"
"Sensor 4","2.53","1.68","-0.99","5.99"

"#RAW_HEADERS",time,sensor1,sensor2,sensor3,sensor4
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 2","Sensor 3","Sensor 4"
224,11.20,2.85,0.87,2.63,5.24
225,11.25,2.20,3.87,3.85,4.92
226,11.30,2.46,2.67,1.64,1.32
227,11.35,3.00,3.35,2.12,4.34
228,11.40,3.87,1.05,1.83,5.99
229,11.45,-0.50,1.65,3.67,2.44
230,11.50,0.22,1.15,2.64,4.92
231,11.55,0.50,0.38,0.39,4.87
232,11.60,0.93,0.60,3.28,1.37
233,11.65,3.67,2.21,0.44,3.49
234,11.70,0.86,0.09,2.38,4.13
235,11.75,-0.27,-0.69,2.73,3.42
236,11.80,2.63,-0.38,3.62,2.48
237,11.85,2.41,2.80,2.65,0.79
238,11.90,1.64,0.25,3.89,0.29
239,11.95,0.08,3.52,0.01,2.07
240,12.00,-0.11,3.77,0.61,0.75
241,12.05,2.93,3.72,-0.07,3.27
242,12.10,3.62,3.48,2.77,3.49
243,12.15,0.97,3.26,0.66,2.38
244,12.20,4.20,3.30,2.98,-0.22
245,12.25,4.10,-0.41,1.51,0.24
246,12.30,1.99,3.11,2.59,1.48
247,12.35,0.52,2.81,2.49,2.11
248,12.40,3.44,2.84,1.43,2.72
249,12.45,0.80,2.61,2.59,-0.42
250,12.50,3.92,1.26,0.54,2.98
251,12.55,1.61,2.30,1.96,-0.06
252,12.60,0.94,1.86,3.19,3.66
253,12.65,3.31,3.40,2.06,4.89
254,12.70,0.25,4.07,4.47,4.60
255,12.75,2.36,1.78,4.19,1.87
256,12.80,1.94,4.58,2.26,3.05
257,12.85,0.69,2.71,1.05,4.39
258,12.90,3.41,2.86,1.32,1.28
259,12.95,4.15,2.69,2.15,1.03
260,13.00,2.16,1.32,4.85,5.37
261,13.05,3.84,4.38,3.32,5.42
262,13.10,2.23,4.85,3.66,2.47
263,13.15,4.45,1.57,3.14,4.20
264,13.20,5.52,5.43,2.66,3.95
265,13.25,1.64,3.94,1.61,2.79
266,13.30,3.53,2.87,2.33,5.03
267,13.35,0.83,5.70,3.85,0.14
268,13.40,5.62,2.13,1.14,2.82
269,13.45,2.65,2.03,4.43,3.01
270,13.50,1.33,3.77,0.84,-0.02
271,13.55,1.55,2.61,4.67,4.19
272,13.60,2.10,3.97,5.02,-0.65
273,13.65,1.37,3.03,4.04,2.32
274,13.70,3.09,2.19,4.29,1.12
275,13.75,0.95,3.08,1.64,-0.36
276,13.80,2.05,3.10,2.23,2.90
277,13.85,3.27,1.90,1.92,0.51
278,13.90,1.92,3.55,2.57,1.65
279,13.95,3.34,3.88,3.87,2.67
280,14.00,2.63,1.14,3.86,-0.12
281,14.05,2.91,2.43,3.18,3.90
282,14.10,4.26,3.42,-0.80,1.53
283,14.15,5.51,4.34,2.83,2.34
284,14.20,4.27,3.17,-0.56,4.39
285,14.25,1.85,2.92,3.53,3.41
286,14.30,3.53,0.67,-0.21,3.90
287,14.35,5.28,2.75,0.51,0.80
288,14.40,4.64,0.64,0.03,5.69
289,14.45,2.66,2.43,1.88,4.47
290,14.50,1.06,2.00,4.14,3.63
291,14.55,3.65,1.01,2.90,1.38
292,14.60,1.56,2.69,0.61,4.07
293,14.65,5.38,1.93,2.06,2.97
294,14.70,1.85,1.61,3.33,3.86
295,14.75,5.66,2.84,3.38,2.65
296,14.80,1.47,3.09,2.07,0.58
297,14.85,5.09,-0.55,1.21,2.40
298,14.90,2.25,2.79,2.41,4.96
299,14.95,5.33,0.64,2.39,4.61
300,15.00,4.91,2.93,3.75,3.89
301,15.05,0.93,3.18,4.02,1.82
302,15.10,1.28,2.75,3.79,1.49
303,15.15,3.09,4.09,3.22,2.71
304,15.20,4.76,-0.47,2.57,1.74
305,15.25,4.08,3.98,1.17,3.42
306,15.30,1.60,4.26,3.07,2.40
307,15.35,4.79,3.49,3.25,1.05
308,15.40,4.52,0.31,3.32,0.57
309,15.45,0.53,3.88,2.22,2.35
310,15.50,2.95,0.35,4.04,-0.36
311,15.55,1.32,-0.25,3.60,-0.19
312,15.60,2.43,0.02,0.78,-0.33
313,15.65,2.38,1.48,1.98,3.61
314,15.70,1.29,3.24,3.45,3.84
315,15.75,1.97,4.40,1.62,0.77
316,15.80,0.24,3.67,1.59,5.16
317,15.85,4.14,0.40,1.39,5.20
318,15.90,4.04,2.55,1.25,4.24
319,15.95,1.09,1.71,2.47,3.97
320,16.00,0.76,4.09,-0.64,5.06
321,16.05,3.91,2.72,1.82,5.04
322,16.10,0.81,3.55,-0.26,3.24
323,16.15,4.00,3.32,2.59,5.06
324,16.20,1.87,1.13,3.07,4.99
325,16.25,3.60,1.76,-0.72,3.43
326,16.30,1.24,5.14,-0.49,5.29
327,16.35,-0.32,3.63,2.12,1.27
328,16.40,2.51,4.17,3.74,4.80
329,16.45,3.94,1.53,3.51,2.71
330,16.50,0.88,2.82,0.04,3.80
331,16.55,2.29,4.10,0.33,4.55
332,16.60,3.65,3.62,2.66,0.59
333,16.65,0.30,4.48,3.90,2.39
334,16.70,-0.39,2.59,1.50,3.51
335,16.75,-0.42,5.04,4.05,1.41
336,16.80,-0.14,4.35,1.85,3.32
337,16.85,2.16,2.81,2.64,1.96
338,16.90,1.04,3.94,2.47,0.15
339,16.95,3.62,0.64,4.62,-0.88
340,17.00,-0.79,1.70,5.27,0.85
341,17.05,1.63,2.23,1.35,2.35
342,17.10,0.68,4.11,5.28,0.11
343,17.15,1.70,2.26,5.51,2.19
344,17.20,3.69,2.00,5.82,3.92
345,17.25,-0.84,3.72,4.88,3.01
346,17.30,2.44,3.85,1.62,4.93
347,17.35,0.73,4.12,1.97,4.25
348,17.40,1.15,2.56,1.53,4.17
349,17.45,0.58,2.92,3.48,4.19
350,17.50,1.34,2.11,1.53,1.54
351,17.55,1.95,1.50,4.26,4.36
352,17.60,2.27,-0.48,3.54,5.49
353,17.65,3.30,3.58,4.28,3.76
354,17.70,3.07,-0.36,1.45,5.08
355,17.75,2.95,2.11,1.50,2.58
356,17.80,2.09,1.15,1.34,5.34
357,17.85,-0.08,4.03,2.16,2.31
358,17.90,1.60,2.89,3.28,4.25
359,17.95,1.14,-0.19,4.18,2.97
360,18.00,-0.30,3.05,1.58,4.77
361,18.05,0.74,-0.70,1.92,0.94
362,18.10,4.17,-1.00,2.76,0.30
363,18.15,3.59,-0.87,2.27,0.90
364,18.20,3.48,2.09,3.78,3.70
365,18.25,1.83,2.24,-0.34,1.61
366,18.30,3.69,2.57,0.02,-0.35
367,18.35,1.58,1.24,2.64,3.14
368,18.40,3.25,1.29,2.62,2.33
369,18.45,-0.31,-0.31,-0.92,3.48
370,18.50,1.73,3.60,2.09,3.01
371,18.55,4.15,3.26,0.96,0.78
372,18.60,2.72,1.74,2.11,-0.14
373,18.65,3.90,2.91,-0.05,0.18
374,18.70,0.88,4.27,2.64,4.00
375,18.75,2.81,2.92,3.39,2.99
376,18.80,1.08,3.17,4.13,3.37
377,18.85,4.31,0.24,3.71,2.99
378,18.90,0.46,2.31,2.43,0.83
379,18.95,1.34,4.22,3.91,0.97
380,19.00,4.77,1.30,2.49,3.16
381,19.05,4.70,1.49,4.91,1.67
382,19.10,0.86,2.91,5.66,1.92
383,19.15,2.89,3.35,4.75,3.39
384,19.20,1.04,2.84,5.08,4.57
385,19.25,3.93,5.34,3.88,2.37
386,19.30,4.50,1.20,2.91,4.51
387,19.35,2.90,1.13,5.32,1.91
388,19.40,3.77,1.30,5.13,1.70
389,19.45,3.31,2.08,1.11,5.47
390,19.50,1.52,1.10,1.88,5.20
391,19.55,5.54,3.28,4.52,0.66
392,19.60,0.88,1.44,2.27,2.78
393,19.65,4.54,2.26,5.50,1.59
394,19.70,2.47,1.86,5.38,3.87
395,19.75,2.05,5.74,4.58,1.34
396,19.80,1.68,2.23,4.85,3.81
397,19.85,0.91,0.92,3.47,0.24
398,19.90,1.88,5.35,4.08,-0.04
399,19.95,2.66,5.69,4.35,4.00
400,20.00,1.14,2.49,0.28,0.82
401,20.05,1.93,2.86,2.85,2.18
402,20.10,2.51,2.31,0.37,1.87
403,20.15,3.04,5.46,3.62,3.00
404,20.20,1.06,2.98,2.21,3.01
405,20.25,4.10,2.76,2.24,4.30
406,20.30,4.74,4.59,1.34,4.09
407,20.35,1.96,0.56,1.39,2.54
408,20.40,2.75,0.14,-0.61,0.98
409,20.45,3.93,4.38,0.89,0.39
410,20.50,5.31,1.77,0.20,3.43
411,20.55,3.29,2.73,1.52,1.20
412,20.60,5.92,3.44,0.04,1.14
413,20.65,2.32,4.34,3.15,5.22
414,20.70,5.42,2.23,-0.48,1.51
415,20.75,4.83,0.10,1.05,3.96
416,20.80,2.34,2.59,0.71,5.82
417,20.85,2.05,-0.06,1.28,1.42
418,20.90,1.82,3.69,3.87,1.12
419,20.95,1.41,2.63,2.20,3.48
420,21.00,4.69,-0.83,1.99,3.77
421,21.05,5.40,2.54,4.07,0.87
422,21.10,1.46,3.02,2.55,3.94
423,21.15,4.87,2.96,1.81,4.64
424,21.20,5.71,-0.99,2.00,1.64
425,21.25,2.67,3.37,3.52,1.31
426,21.30,4.16,3.51,4.62,0.70
427,21.35,3.58,2.73,3.93,2.07
428,21.40,1.38,3.49,4.22,3.76
429,21.45,1.21,4.02,3.41,4.13
430,21.50,1.98,2.86,5.23,-0.90
431,21.55,4.76,0.57,2.28,3.15
432,21.60,2.07,-0.23,4.44,3.89
433,21.65,1.93,1.83,4.26,3.68
434,21.70,2.40,1.95,4.95,3.08
435,21.75,1.84,2.40,1.40,2.85
436,21.80,2.23,2.24,4.15,-0.40
437,21.85,0.56,2.98,3.65,1.80
438,21.90,2.23,2.37,0.84,-0.23
439,21.95,0.88,4.64,0.89,3.14
440,22.00,3.28,4.94,2.50,3.38
441,22.05,0.47,2.67,0.97,4.25
442,22.10,1.82,2.50,2.87,2.32
443,22.15,-0.02,4.67,-0.34,3.73
444,22.20,3.11,4.13,0.32,3.40
445,22.25,2.65,2.81,1.12,2.73
446,22.30,0.71,2.55,2.86,2.03
447,22.35,0.12,5.44,3.26,1.50
448,22.40,2.47,4.45,3.84,3.27
449,22.45,2.00,5.09,2.33,2.25
450,22.50,4.04,1.22,1.46,2.60
451,22.55,2.90,2.55,-0.08,2.41
452,22.60,3.68,2.25,3.14,4.27
453,22.65,1.73,4.13,2.77,1.20
454,22.70,2.27,1.94,2.64,4.23
455,22.75,2.22,3.59,2.93,0.75
456,22.80,-0.14,4.77,0.37,3.28
457,22.85,0.27,1.21,0.89,3.99
458,22.90,2.33,2.95,2.13,1.72
459,22.95,-0.21,5.20,1.38,-0.55
460,23.00,1.90,2.70,4.01,2.18
461,23.05,2.88,3.37,2.00,2.03
462,23.10,0.43,5.22,5.04,0.08
463,23.15,-0.81,3.20,3.54,3.14
464,23.20,3.75,5.26,3.19,-0.99
465,23.25,2.07,0.68,4.03,0.44
466,23.30,2.37,4.15,3.06,-0.77
467,23.35,1.61,4.83,2.86,0.69
468,23.40,-0.53,2.30,3.17,1.47
469,23.45,0.80,4.12,1.83,0.98
470,23.50,1.25,3.21,4.29,0.70
471,23.55,2.18,1.38,5.01,0.93
