"Test Summary"
"Parameter","Value"
"File name","kk.csv"
"startTime","2025-09-17T04:25:20.990Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","150 Hz"
"totalSamples","1501"
"dominantRegimen","TRANSITION"

"Test Statistics"
"Sensor","Mean","Std. Dev.","Min","Max"
"Sensor 2","2.68","1.60","-0.96","5.96"

"#RAW_HEADERS",time,sensor2
"Collected Data"
"Sample No.","time","Sensor 2"
387,2.58,4.66
388,2.59,4.52
389,2.59,2.77
390,2.60,0.67
391,2.61,3.08
392,2.61,4.48
393,2.62,5.30
394,2.63,0.81
395,2.63,4.46
396,2.64,4.24
397,2.65,1.51
398,2.65,4.10
399,2.66,2.93
400,2.67,2.28
401,2.67,4.66
402,2.68,0.99
403,2.69,4.35
404,2.69,4.88
405,2.70,2.96
406,2.71,4.84
407,2.71,1.86
408,2.72,2.50
409,2.73,0.53
410,2.73,1.06
411,2.74,3.32
412,2.75,0.88
413,2.75,3.65
414,2.76,3.33
415,2.77,2.79
416,2.77,2.34
417,2.78,0.62
418,2.79,1.41
419,2.79,3.59
420,2.80,2.89
421,2.81,4.66
422,2.81,3.96
423,2.82,5.06
424,2.83,2.58
425,2.83,4.26
426,2.84,2.70
427,2.85,1.54
428,2.85,2.00
429,2.86,3.35
430,2.87,4.10
431,2.87,3.60
432,2.88,1.13
433,2.89,2.27
434,2.89,0.77
435,2.90,4.86
436,2.91,4.94
437,2.91,3.24
438,2.92,3.32
439,2.93,1.36
440,2.93,4.12
441,2.94,1.29
442,2.95,2.08
443,2.95,4.37
444,2.96,0.41
445,2.97,2.39
446,2.97,0.30
447,2.98,0.21
448,2.99,4.66
449,2.99,3.82
450,3.00,4.82
451,3.01,1.38
452,3.01,3.97
453,3.02,0.92
454,3.03,2.14
455,3.03,2.52
456,3.04,1.30
457,3.05,3.53
458,3.05,4.23
459,3.06,1.30
460,3.07,0.66
461,3.07,0.94
462,3.08,1.44
463,3.09,4.36
464,3.09,3.44
465,3.10,4.52
466,3.11,4.64
467,3.11,4.43
468,3.12,2.98
469,3.13,4.21
470,3.13,3.87
471,3.14,0.11
472,3.15,4.90
473,3.15,2.38
474,3.16,4.15
475,3.17,2.32
476,3.17,3.30
477,3.18,2.45
478,3.19,2.16
479,3.19,4.01
480,3.20,0.92
481,3.21,2.12
482,3.21,1.75
483,3.22,4.90
484,3.23,3.20
485,3.23,0.49
486,3.24,4.20
487,3.25,0.13
488,3.25,4.48
489,3.26,4.81
490,3.27,3.09
491,3.27,4.21
492,3.28,0.00
493,3.29,1.69
494,3.29,0.17
495,3.30,1.26
496,3.31,4.59
497,3.31,4.80
498,3.32,2.38
499,3.33,4.42
500,3.33,2.14
501,3.34,2.66
502,3.35,2.77
503,3.35,0.25
504,3.36,3.95
505,3.37,0.61
506,3.37,4.34
507,3.38,0.23
508,3.39,3.61
509,3.39,3.41
510,3.40,0.42
511,3.41,1.85
512,3.41,1.69
513,3.42,4.62
514,3.43,0.74
515,3.43,0.27
516,3.44,0.94
517,3.45,4.29
518,3.45,0.09
519,3.46,1.80
520,3.47,1.33
521,3.47,4.23
522,3.48,1.30
523,3.49,3.88
524,3.49,2.96
525,3.50,4.61
526,3.51,2.96
527,3.51,3.61
528,3.52,1.00
529,3.53,3.07
530,3.53,1.50
531,3.54,3.16
532,3.55,3.68
533,3.55,0.70
534,3.56,1.88
535,3.57,1.40
536,3.57,1.28
537,3.58,4.23
538,3.59,2.98
539,3.59,-0.34
540,3.60,1.80
541,3.61,-0.13
542,3.61,2.44
543,3.62,3.10
544,3.63,2.89
545,3.63,1.44
546,3.64,3.09
547,3.65,0.27
548,3.65,0.15
549,3.66,0.33
550,3.67,0.45
551,3.67,3.75
552,3.68,0.00
553,3.69,1.19
554,3.69,-0.06
555,3.70,2.10
556,3.71,0.27
557,3.71,0.21
558,3.72,0.62
559,3.73,2.25
560,3.73,2.69
561,3.74,1.41
562,3.75,-0.06
563,3.75,0.79
564,3.76,2.80
565,3.77,1.03
566,3.77,1.15
567,3.78,1.22
568,3.79,3.18
569,3.79,2.19
570,3.80,0.55
571,3.81,-0.09
572,3.81,3.66
573,3.82,-0.10
574,3.83,4.01
575,3.83,-0.57
576,3.84,-0.64
577,3.85,4.19
578,3.85,3.44
579,3.86,2.13
580,3.87,3.03
581,3.87,2.56
582,3.88,3.54
583,3.89,-0.39
584,3.89,2.91
585,3.90,0.80
586,3.91,0.86
587,3.91,0.42
588,3.92,-0.38
589,3.93,0.64
590,3.93,0.49
591,3.94,0.34
592,3.95,0.55
593,3.95,0.22
594,3.96,2.27
595,3.97,3.84
596,3.97,0.63
597,3.98,1.65
598,3.99,3.29
599,3.99,0.17
600,4.00,3.05
601,4.01,-0.19
602,4.01,1.91
603,4.02,0.09
604,4.03,2.94
605,4.03,-0.63
606,4.04,3.29
607,4.05,4.14
608,4.05,-0.69
609,4.06,2.68
610,4.07,0.58
611,4.07,1.54
612,4.08,-0.23
613,4.09,0.63
614,4.09,2.27
615,4.10,-0.33
616,4.11,-0.80
617,4.11,3.84
618,4.12,3.84
619,4.13,-0.49
620,4.13,1.95
621,4.14,-0.17
622,4.15,-0.42
623,4.15,2.76
624,4.16,2.73
625,4.17,0.95
626,4.17,0.59
627,4.18,3.94
628,4.19,0.29
629,4.19,2.53
630,4.20,1.59
631,4.21,2.46
632,4.21,0.47
633,4.22,0.93
634,4.23,1.24
635,4.23,1.29
636,4.24,2.12
637,4.25,3.43
638,4.25,3.23
639,4.26,2.66
640,4.27,2.11
641,4.27,1.80
642,4.28,2.65
643,4.29,0.00
644,4.29,2.48
645,4.30,3.90
646,4.31,3.16
647,4.31,-0.22
648,4.32,1.57
649,4.33,2.15
650,4.33,1.82
651,4.34,0.61
652,4.35,2.45
653,4.35,1.76
654,4.36,1.60
655,4.37,0.57
656,4.37,2.80
657,4.38,-0.36
658,4.39,3.73
659,4.39,1.96
660,4.40,0.85
661,4.41,3.00
662,4.41,0.23
663,4.42,-0.25
664,4.43,3.39
665,4.43,-0.64
666,4.44,2.07
667,4.45,3.09
668,4.45,3.31
669,4.46,1.02
670,4.47,1.82
671,4.47,0.29
672,4.48,3.18
673,4.49,0.66
674,4.49,0.72
675,4.50,0.02
676,4.51,-0.88
677,4.51,3.65
678,4.52,-0.48
679,4.53,-0.35
680,4.53,1.79
681,4.54,2.59
682,4.55,1.31
683,4.55,2.44
684,4.56,0.57
685,4.57,2.40
686,4.57,2.53
687,4.58,2.44
688,4.59,3.73
689,4.59,3.48
690,4.60,0.36
691,4.61,2.00
692,4.61,1.01
693,4.62,3.16
694,4.63,0.62
695,4.63,3.29
696,4.64,0.35
697,4.65,1.05
698,4.65,-0.40
699,4.66,1.10
700,4.67,3.43
701,4.67,1.21
702,4.68,2.99
703,4.69,-0.68
704,4.69,2.70
705,4.70,0.23
706,4.71,2.11
707,4.71,0.35
708,4.72,-0.16
709,4.73,-0.84
710,4.73,0.78
711,4.74,3.04
712,4.75,0.18
713,4.75,1.25
714,4.76,0.77
715,4.77,3.45
716,4.77,0.73
717,4.78,3.65
718,4.79,2.63
719,4.79,3.43
720,4.80,1.72
721,4.81,1.43
722,4.81,2.94
723,4.82,3.36
724,4.83,1.61
725,4.83,3.61
726,4.84,1.42
727,4.85,1.88
728,4.85,2.74
729,4.86,-0.17
730,4.87,-0.96
731,4.87,-0.59
732,4.88,1.44
733,4.89,2.28
734,4.89,1.83
735,4.90,2.44
736,4.91,0.22
737,4.91,1.74
738,4.92,3.26
739,4.93,2.46
740,4.93,0.05
741,4.94,3.48
742,4.95,3.64
743,4.95,-0.19
744,4.96,2.03
745,4.97,0.59
746,4.97,3.40
747,4.98,1.87
748,4.99,1.69
749,4.99,0.36
750,5.00,1.85
751,5.01,-0.25
752,5.01,2.15
753,5.02,1.76
754,5.03,2.70
755,5.03,-0.67
756,5.04,-0.35
757,5.05,0.30
758,5.05,0.99
759,5.06,0.71
760,5.07,2.44
761,5.07,2.48
762,5.08,1.07
763,5.09,1.56
764,5.09,1.11
765,5.10,1.84
766,5.11,0.43
767,5.11,0.75
768,5.12,1.50
769,5.13,2.51
770,5.13,-0.88
771,5.14,1.48
772,5.15,-0.63
773,5.15,-0.20
774,5.16,-0.21
775,5.17,1.93
776,5.17,0.62
777,5.18,1.65
778,5.19,3.57
779,5.19,-0.64
780,5.20,0.16
781,5.21,-0.16
782,5.21,0.46
783,5.22,0.02
784,5.23,-0.44
785,5.23,0.67
786,5.24,3.20
787,5.25,0.18
788,5.25,2.97
789,5.26,3.24
790,5.27,1.44
791,5.27,2.84
792,5.28,0.18
793,5.29,2.56
794,5.29,1.91
795,5.30,4.06
796,5.31,2.92
797,5.31,3.29
798,5.32,3.82
799,5.33,1.49
800,5.33,3.24
801,5.34,-0.70
802,5.35,4.11
803,5.35,3.78
804,5.36,1.05
805,5.37,2.47
806,5.37,-0.25
807,5.38,1.26
808,5.39,3.71
809,5.39,3.52
810,5.40,0.78
811,5.41,3.76
812,5.41,0.83
813,5.42,2.64
814,5.43,1.02
815,5.43,1.19
816,5.44,1.51
817,5.45,1.06
818,5.45,1.42
819,5.46,0.52
820,5.47,2.74
821,5.47,0.64
822,5.48,0.86
823,5.49,0.26
824,5.49,4.25
825,5.50,1.34
826,5.51,1.50
827,5.51,0.49
828,5.52,-0.17
829,5.53,2.78
830,5.53,3.56
831,5.54,2.39
832,5.55,-0.02
833,5.55,3.48
834,5.56,0.29
835,5.57,3.27
836,5.57,2.29
837,5.58,3.57
838,5.59,2.83
839,5.59,2.18
840,5.60,2.86
841,5.61,-0.54
842,5.61,0.61
843,5.62,3.68
844,5.63,1.51
845,5.63,-0.23
846,5.64,0.27
847,5.65,-0.44
848,5.65,0.94
849,5.66,2.86
850,5.67,-0.22
851,5.67,1.48
852,5.68,1.03
853,5.69,2.62
854,5.69,3.22
855,5.70,2.98
856,5.71,-0.03
857,5.71,3.40
858,5.72,0.85
859,5.73,1.87
860,5.73,1.31
861,5.74,4.37
862,5.75,3.65
863,5.75,2.11
864,5.76,4.26
865,5.77,3.00
866,5.77,3.13
867,5.78,0.33
868,5.79,-0.45
869,5.79,0.06
870,5.80,4.05
871,5.81,0.43
872,5.81,2.42
873,5.82,2.37
874,5.83,4.36
875,5.83,0.12
876,5.84,2.64
877,5.85,0.09
878,5.85,-0.18
879,5.86,-0.26
880,5.87,-0.26
881,5.87,3.04
882,5.88,0.84
883,5.89,2.13
884,5.89,1.84
885,5.90,2.68
886,5.91,1.41
887,5.91,4.21
888,5.92,-0.33
889,5.93,2.75
890,5.93,0.10
891,5.94,1.15
892,5.95,3.39
893,5.95,2.04
894,5.96,0.40
895,5.97,1.28
896,5.97,1.43
897,5.98,0.30
898,5.99,4.62
899,5.99,4.01
900,6.00,0.57
901,6.01,3.84
902,6.01,0.77
903,6.02,4.31
904,6.03,2.84
905,6.03,4.50
906,6.04,4.57
907,6.05,0.92
908,6.05,2.68
909,6.06,1.29
910,6.07,4.26
911,6.07,3.81
912,6.08,0.34
913,6.09,0.35
914,6.09,0.61
915,6.10,2.44
916,6.11,4.48
917,6.11,1.15
918,6.12,2.23
919,6.13,3.17
920,6.13,2.01
921,6.14,1.10
922,6.15,2.60
923,6.15,3.60
924,6.16,0.77
925,6.17,3.53
926,6.17,4.36
927,6.18,-0.01
928,6.19,0.44
929,6.19,4.46
930,6.20,3.29
931,6.21,4.17
932,6.21,3.84
933,6.22,0.24
934,6.23,2.49
935,6.23,2.02
936,6.24,1.11
937,6.25,0.52
938,6.25,0.63
939,6.26,3.68
940,6.27,2.38
941,6.27,0.23
942,6.28,2.27
943,6.29,0.64
944,6.29,2.25
945,6.30,4.76
946,6.31,1.38
947,6.31,3.34
948,6.32,0.47
949,6.33,1.86
950,6.33,5.00
951,6.34,3.04
952,6.35,1.01
953,6.35,0.22
954,6.36,2.03
955,6.37,4.10
956,6.37,5.08
957,6.38,3.82
958,6.39,0.65
959,6.39,0.85
960,6.40,0.86
961,6.41,4.88
962,6.41,2.67
963,6.42,1.40
964,6.43,2.19
965,6.43,2.78
966,6.44,1.66
967,6.45,3.10
968,6.45,5.12
969,6.46,4.08
970,6.47,0.91
971,6.47,1.20
972,6.48,3.99
973,6.49,2.46
974,6.49,1.79
975,6.50,0.50
976,6.51,4.82
977,6.51,2.93
978,6.52,3.61
979,6.53,4.88
980,6.53,3.17
981,6.54,3.85
982,6.55,2.19
983,6.55,4.88
984,6.56,0.95
985,6.57,4.95
986,6.57,1.71
987,6.58,1.89
988,6.59,2.29
989,6.59,1.20
990,6.60,2.71
991,6.61,2.53
992,6.61,3.87
993,6.62,2.67
994,6.63,2.57
995,6.63,4.46
996,6.64,2.27
997,6.65,2.50
998,6.65,4.25
999,6.66,4.08
1000,6.67,1.57
1001,6.67,4.06
1002,6.68,2.60
1003,6.69,4.62
1004,6.69,1.89
1005,6.70,0.66
1006,6.71,2.36
1007,6.71,2.70
1008,6.72,5.35
1009,6.73,1.75
1010,6.73,2.40
1011,6.74,2.74
1012,6.75,4.16
1013,6.75,4.55
1014,6.76,2.87
1015,6.77,5.27
1016,6.77,0.58
1017,6.78,4.47
1018,6.79,4.62
1019,6.79,1.94
1020,6.80,1.23
1021,6.81,3.43
1022,6.81,1.86
1023,6.82,3.44
1024,6.83,1.61
1025,6.83,0.58
1026,6.84,4.49
1027,6.85,0.58
1028,6.85,2.96
1029,6.86,5.50
1030,6.87,4.63
1031,6.87,1.17
1032,6.88,5.47
1033,6.89,3.67
1034,6.89,5.00
1035,6.90,2.39
1036,6.91,3.05
1037,6.91,1.68
1038,6.92,2.72
1039,6.93,4.46
1040,6.93,0.76
1041,6.94,1.58
1042,6.95,2.69
1043,6.95,3.16
1044,6.96,1.31
1045,6.97,3.05
1046,6.97,1.43
1047,6.98,1.73
1048,6.99,1.11
1049,6.99,5.27
1050,7.00,3.99
1051,7.01,2.62
1052,7.01,0.99
1053,7.02,3.98
1054,7.03,4.80
1055,7.03,2.48
1056,7.04,4.12
1057,7.05,2.63
1058,7.05,2.76
1059,7.06,5.24
1060,7.07,4.19
1061,7.07,1.36
1062,7.08,5.28
1063,7.09,2.91
1064,7.09,2.25
1065,7.10,3.96
1066,7.11,5.41
1067,7.11,3.47
1068,7.12,2.12
1069,7.13,2.44
1070,7.13,5.00
1071,7.14,0.86
1072,7.15,1.61
1073,7.15,3.38
1074,7.16,5.18
1075,7.17,2.69
1076,7.17,4.36
1077,7.18,1.22
1078,7.19,5.09
1079,7.19,2.69
1080,7.20,1.06
1081,7.21,1.62
1082,7.21,1.31
1083,7.22,5.64
1084,7.23,4.79
1085,7.23,2.16
1086,7.24,4.29
1087,7.25,1.33
1088,7.25,4.71
1089,7.26,3.86
1090,7.27,4.07
1091,7.27,5.51
1092,7.28,4.02
1093,7.29,1.18
1094,7.29,1.36
1095,7.30,2.04
1096,7.31,4.66
1097,7.31,3.77
1098,7.32,1.90
1099,7.33,1.34
1100,7.33,1.80
1101,7.34,1.41
1102,7.35,4.09
1103,7.35,3.47
1104,7.36,1.49
1105,7.37,2.08
1106,7.37,2.62
1107,7.38,2.96
1108,7.39,2.43
1109,7.39,1.11
1110,7.40,5.02
1111,7.41,3.94
1112,7.41,3.73
1113,7.42,5.25
1114,7.43,2.20
1115,7.43,3.05
1116,7.44,1.83
1117,7.45,2.22
1118,7.45,1.59
1119,7.46,4.79
1120,7.47,4.36
1121,7.47,3.86
1122,7.48,4.75
1123,7.49,2.73
1124,7.49,2.46
1125,7.50,3.48
1126,7.51,5.51
1127,7.51,4.68
1128,7.52,1.65
1129,7.53,2.17
1130,7.53,2.58
1131,7.54,4.24
1132,7.55,4.15
1133,7.55,4.53
1134,7.56,2.73
1135,7.57,3.13
1136,7.57,3.15
1137,7.58,5.14
1138,7.59,1.87
1139,7.59,3.24
1140,7.60,3.79
1141,7.61,3.11
1142,7.61,5.96
1143,7.62,2.60
1144,7.63,2.51
1145,7.63,1.20
1146,7.64,3.11
1147,7.65,2.04
1148,7.65,5.77
1149,7.66,4.08
1150,7.67,5.80
1151,7.67,2.12
1152,7.68,1.70
1153,7.69,3.58
1154,7.69,2.79
1155,7.70,2.88
1156,7.71,4.43
1157,7.71,3.70
1158,7.72,2.76
1159,7.73,3.31
1160,7.73,3.10
1161,7.74,2.04
1162,7.75,3.79
1163,7.75,4.55
1164,7.76,3.66
1165,7.77,1.04
1166,7.77,3.91
1167,7.78,4.59
1168,7.79,3.22
1169,7.79,2.86
1170,7.80,2.79
1171,7.81,5.59
1172,7.81,1.00
1173,7.82,3.11
1174,7.83,4.21
1175,7.83,5.32
1176,7.84,3.84
1177,7.85,4.09
1178,7.85,4.93
1179,7.86,4.85
1180,7.87,1.45
1181,7.87,3.17
1182,7.88,4.11
1183,7.89,2.59
1184,7.89,2.73
1185,7.90,5.44
1186,7.91,4.67
1187,7.91,2.49
1188,7.92,4.69
1189,7.93,1.89
1190,7.93,4.38
1191,7.94,2.15
1192,7.95,2.49
1193,7.95,5.48
1194,7.96,2.04
1195,7.97,1.26
1196,7.97,4.02
1197,7.98,2.08
1198,7.99,2.31
1199,7.99,5.30
1200,8.00,3.33
1201,8.01,3.42
1202,8.01,1.48
1203,8.02,4.46
1204,8.03,4.92
1205,8.03,4.68
1206,8.04,2.56
1207,8.05,5.44
1208,8.05,1.54
1209,8.06,3.48
1210,8.07,5.59
1211,8.07,5.94
1212,8.08,3.86
1213,8.09,3.81
1214,8.09,2.66
1215,8.10,4.52
1216,8.11,2.34
1217,8.11,4.17
1218,8.12,5.30
1219,8.13,3.81
1220,8.13,3.46
1221,8.14,1.16
1222,8.15,1.59
1223,8.15,1.81
1224,8.16,2.55
1225,8.17,4.31
1226,8.17,5.86
1227,8.18,3.46
1228,8.19,3.54
1229,8.19,2.68
1230,8.20,2.84
1231,8.21,3.52
1232,8.21,3.13
1233,8.22,2.85
1234,8.23,4.99
1235,8.23,5.63
1236,8.24,1.20
1237,8.25,3.60
1238,8.25,3.37
1239,8.26,5.43
1240,8.27,5.22
1241,8.27,4.18
1242,8.28,3.82
1243,8.29,2.66
1244,8.29,4.47
1245,8.30,3.15
1246,8.31,4.35
1247,8.31,3.23
1248,8.32,1.53
1249,8.33,5.10
1250,8.33,2.28
1251,8.34,1.89
1252,8.35,5.62
1253,8.35,2.72
1254,8.36,5.30
1255,8.37,3.37
1256,8.37,1.31
1257,8.38,3.20
1258,8.39,1.29
1259,8.39,3.75
1260,8.40,5.34
1261,8.41,1.13
1262,8.41,4.05
1263,8.42,5.80
1264,8.43,2.98
1265,8.43,4.89
1266,8.44,5.39
1267,8.45,5.50
1268,8.45,5.26
1269,8.46,4.60
1270,8.47,1.44
1271,8.47,5.73
1272,8.48,1.04
1273,8.49,4.40
1274,8.49,4.74
1275,8.50,4.30
1276,8.51,1.81
1277,8.51,2.84
1278,8.52,3.68
1279,8.53,2.81
1280,8.53,2.41
1281,8.54,0.95
1282,8.55,5.63
1283,8.55,2.99
1284,8.56,1.73
1285,8.57,4.29
1286,8.57,1.71
1287,8.58,3.83
1288,8.59,1.02
1289,8.59,1.47
1290,8.60,4.95
1291,8.61,3.22
1292,8.61,4.78
1293,8.62,3.85
1294,8.63,3.65
1295,8.63,4.01
1296,8.64,5.12
1297,8.65,5.18
1298,8.65,1.30
1299,8.66,0.78
1300,8.67,2.94
1301,8.67,3.57
1302,8.68,1.41
1303,8.69,3.39
1304,8.69,0.75
1305,8.70,4.40
1306,8.71,5.65
1307,8.71,1.17
1308,8.72,1.07
1309,8.73,3.93
1310,8.73,3.54
1311,8.74,5.24
1312,8.75,4.93
1313,8.75,4.38
1314,8.76,4.13
1315,8.77,3.82
1316,8.77,2.68
1317,8.78,5.15
1318,8.79,4.51
