"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","a.csv"
"startTime","2025-09-16T04:49:12.430Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","20 Hz"
"totalSamples","200"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.67","1.57","-0.89","5.95"
"Sensor 2","2.62","1.56","-0.63","5.91"
"Sensor 3","2.50","1.64","-0.79","5.78"
"Sensor 4","2.52","1.51","-0.62","5.74"

"#RAW_HEADERS",time,sensor1,sensor2,sensor3,sensor4
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 2","Sensor 3","Sensor 4"
180,9.00,1.95,2.70,1.14,-0.37
181,9.05,1.12,1.81,0.91,0.20
182,9.10,1.60,1.01,4.95,1.20
183,9.15,0.86,2.66,4.67,2.23
184,9.20,3.94,1.19,5.00,4.13
185,9.25,0.66,3.15,3.00,-0.41
186,9.30,1.24,1.00,4.72,0.67
187,9.35,3.67,0.54,4.26,2.82
188,9.40,3.12,0.36,0.21,0.35
189,9.45,4.36,1.20,2.97,2.56
190,9.50,3.32,3.60,4.03,3.05
191,9.55,3.86,3.63,-0.07,1.86
192,9.60,4.09,5.16,3.99,1.85
193,9.65,0.35,1.26,-0.31,3.77
194,9.70,2.19,1.53,3.88,5.17
195,9.75,4.67,2.27,0.18,1.53
196,9.80,2.12,3.85,0.99,5.74
197,9.85,1.70,3.22,2.12,4.68
198,9.90,1.25,1.13,2.12,4.79
199,9.95,1.55,4.80,0.35,3.68
200,10.00,-0.08,5.91,1.53,2.98
