"Resumen de la Prueba"
"Parámetro","Valor"
"Nombre del archivo","medicion_01.csv"
"startTime","2025-07-04T23:46:20.736Z"
"durationLabel","10.00s"
"samplesPerSecondLabel","15 Hz"

"Estadísticas de la Prueba"
"Sensor","Media","Desv. Est.","Mín","Máx"
"Sensor 1","2.64","1.57","-0.95","5.71"
"Sensor 2","2.59","1.59","-0.90","5.90"
"Sensor 3","2.51","1.57","-0.78","5.62"
"Sensor 4","2.44","1.63","-0.74","5.94"
"Sensor 5","2.70","1.56","-0.92","5.54"

"#RAW_HEADERS",time,sensor1,sensor2,sensor3,sensor4,sensor5,regimen
"Datos Recolectados"
"Nº de Muestra","time","Sensor 1","Sensor 2","Sensor 3","Sensor 4","Sensor 5","Régimen de Flujo"
122,8.07,2.94,0.05,2.59,1.37,4.52,"turbulento"
123,8.13,4.03,3.19,-0.28,2.66,3.76,"en la frontera"
124,8.20,3.13,2.42,1.23,2.04,2.06,"en la frontera"
125,8.27,2.86,2.89,3.02,2.74,2.82,"turbulento"
126,8.33,2.22,1.10,2.32,4.93,3.10,"turbulento"
127,8.40,1.14,0.60,4.33,5.43,-0.62,"flujo laminar"
128,8.47,5.62,2.90,4.28,3.81,1.68,"turbulento"
129,8.53,2.35,3.83,5.07,4.01,-0.92,"en la frontera"
130,8.60,1.90,2.89,5.53,1.12,1.10,"turbulento"
131,8.67,4.88,-0.90,1.11,0.69,3.28,"flujo laminar"
132,8.73,4.44,-0.56,1.69,1.76,2.89,"en la frontera"
133,8.80,4.69,3.37,1.42,1.17,3.86,"en la frontera"
134,8.87,2.04,3.06,4.02,0.70,5.06,"flujo laminar"
135,8.93,1.67,2.82,3.66,1.75,3.70,"en la frontera"
136,9.00,2.96,0.80,2.62,3.16,1.06,"turbulento"
137,9.07,0.96,0.04,1.18,1.07,3.32,"turbulento"
138,9.13,2.48,3.79,2.57,3.88,4.71,"turbulento"
139,9.20,4.46,2.14,4.46,2.51,3.24,"turbulento"
140,9.27,3.41,0.32,4.99,2.41,1.04,"turbulento"
141,9.33,0.36,1.92,4.76,3.88,5.05,"turbulento"
142,9.40,3.88,4.39,2.72,4.05,3.90,"en la frontera"
143,9.47,0.65,1.36,-0.09,0.17,3.36,"flujo laminar"
144,9.53,-0.08,2.66,4.62,0.98,3.21,"turbulento"
145,9.60,4.03,3.30,2.88,3.33,2.11,"en la frontera"
146,9.67,0.58,3.77,4.06,5.56,1.18,"turbulento"
147,9.73,1.64,4.37,1.34,5.22,2.26,"flujo laminar"
148,9.80,2.34,4.58,0.72,1.15,-0.49,"en la frontera"
149,9.87,0.44,3.80,3.61,3.95,3.68,"flujo laminar"
150,9.93,4.51,4.82,2.93,2.54,3.01,"flujo laminar"
151,10.00,1.46,1.32,1.15,2.90,4.59,"flujo laminar"
152,10.00,1.99,2.89,-0.31,1.03,0.30,"turbulento"
